2025-05-13 01:28:53 - INFO - Logging is set up.
2025-05-13 01:28:53 - INFO - 训练配置参数:
{'seed': 42, 'epochs': 400, 'batch_size': 10, 'num_classes': 2, 'learning_rate': 0.0001, 'dataset_path': './datasets/LA', 'log_path': './result/Double_VNet/LA_16_SemiSupervised/Training.log', 'pth_path': './result/Double_VNet/LA_16_SemiSupervised/Pth', 'tensorboard_path': './result/Double_VNet/LA_16_SemiSupervised/Train', 'continue_train': False, 'multi_gpu': True, 'training_label_num': 16, 'training_unlabel_num': 64, 'label_bs': 2, 'unlabel_bs': 8, 'consistency_weight': 0.3, 'pretrained_weights': None}
2025-05-13 01:28:53 - INFO - 使用 2 个GPU
2025-05-13 01:28:53 - INFO - 模型总参数: 18,373,444
2025-05-13 01:28:53 - INFO - 可训练参数: 18,373,444
2025-05-13 01:29:10 - INFO - Epoch 1/400, Loss: 1.3665, Dice: 1.3598, MSE: 0.0223
2025-05-13 01:29:24 - INFO - Epoch 2/400, Loss: 1.2570, Dice: 1.2515, MSE: 0.0184
2025-05-13 01:29:39 - INFO - Epoch 3/400, Loss: 1.1071, Dice: 1.1024, MSE: 0.0158
2025-05-13 01:29:53 - INFO - Epoch 4/400, Loss: 1.0498, Dice: 1.0446, MSE: 0.0173
2025-05-13 01:30:06 - INFO - Epoch 5/400, Loss: 1.0901, Dice: 1.0851, MSE: 0.0165
2025-05-13 01:30:21 - INFO - Epoch 6/400, Loss: 1.0659, Dice: 1.0618, MSE: 0.0138
2025-05-13 01:30:35 - INFO - Epoch 7/400, Loss: 1.0130, Dice: 1.0081, MSE: 0.0165
2025-05-13 01:30:50 - INFO - Epoch 8/400, Loss: 1.0123, Dice: 1.0070, MSE: 0.0176
2025-05-13 01:31:03 - INFO - Epoch 9/400, Loss: 1.0507, Dice: 1.0453, MSE: 0.0177
2025-05-13 01:31:17 - INFO - Epoch 10/400, Loss: 0.9764, Dice: 0.9722, MSE: 0.0140
2025-05-13 01:31:31 - INFO - Epoch 11/400, Loss: 0.9256, Dice: 0.9201, MSE: 0.0182
2025-05-13 01:31:46 - INFO - Epoch 12/400, Loss: 1.0563, Dice: 1.0510, MSE: 0.0176
2025-05-13 01:32:00 - INFO - Epoch 13/400, Loss: 0.9548, Dice: 0.9498, MSE: 0.0167
2025-05-13 01:32:14 - INFO - Epoch 14/400, Loss: 0.9605, Dice: 0.9566, MSE: 0.0130
2025-05-13 01:32:30 - INFO - Epoch 15/400, Loss: 0.9658, Dice: 0.9624, MSE: 0.0112
2025-05-13 01:32:44 - INFO - Epoch 16/400, Loss: 0.9024, Dice: 0.8983, MSE: 0.0136
2025-05-13 01:32:59 - INFO - Epoch 17/400, Loss: 0.8831, Dice: 0.8789, MSE: 0.0140
2025-05-13 01:33:12 - INFO - Epoch 18/400, Loss: 0.9628, Dice: 0.9565, MSE: 0.0212
2025-05-13 01:33:27 - INFO - Epoch 19/400, Loss: 0.9197, Dice: 0.9153, MSE: 0.0149
2025-05-13 01:33:41 - INFO - Epoch 20/400, Loss: 0.8663, Dice: 0.8607, MSE: 0.0184
2025-05-13 01:33:41 - INFO - 模型已保存至: epoch_20.pth
2025-05-13 01:33:55 - INFO - Epoch 21/400, Loss: 0.8598, Dice: 0.8549, MSE: 0.0163
2025-05-13 01:34:09 - INFO - Epoch 22/400, Loss: 0.8880, Dice: 0.8825, MSE: 0.0186
2025-05-13 01:34:24 - INFO - Epoch 23/400, Loss: 0.9002, Dice: 0.8958, MSE: 0.0146
2025-05-13 01:34:39 - INFO - Epoch 24/400, Loss: 0.8798, Dice: 0.8758, MSE: 0.0135
2025-05-13 01:34:53 - INFO - Epoch 25/400, Loss: 0.8285, Dice: 0.8242, MSE: 0.0145
2025-05-13 01:35:07 - INFO - Epoch 26/400, Loss: 0.8253, Dice: 0.8201, MSE: 0.0175
2025-05-13 01:35:21 - INFO - Epoch 27/400, Loss: 0.8136, Dice: 0.8083, MSE: 0.0178
2025-05-13 01:35:36 - INFO - Epoch 28/400, Loss: 0.8444, Dice: 0.8393, MSE: 0.0169
2025-05-13 01:35:50 - INFO - Epoch 29/400, Loss: 0.7800, Dice: 0.7748, MSE: 0.0174
2025-05-13 01:36:04 - INFO - Epoch 30/400, Loss: 0.7698, Dice: 0.7647, MSE: 0.0170
2025-05-13 01:36:19 - INFO - Epoch 31/400, Loss: 0.7363, Dice: 0.7313, MSE: 0.0164
2025-05-13 01:36:33 - INFO - Epoch 32/400, Loss: 0.7734, Dice: 0.7686, MSE: 0.0163
2025-05-13 01:36:48 - INFO - Epoch 33/400, Loss: 0.7048, Dice: 0.6996, MSE: 0.0175
2025-05-13 01:37:02 - INFO - Epoch 34/400, Loss: 0.7196, Dice: 0.7148, MSE: 0.0158
2025-05-13 01:37:16 - INFO - Epoch 35/400, Loss: 0.7152, Dice: 0.7098, MSE: 0.0181
2025-05-13 01:37:30 - INFO - Epoch 36/400, Loss: 0.7047, Dice: 0.6991, MSE: 0.0185
2025-05-13 01:37:45 - INFO - Epoch 37/400, Loss: 0.7203, Dice: 0.7150, MSE: 0.0177
2025-05-13 01:37:59 - INFO - Epoch 38/400, Loss: 0.7233, Dice: 0.7176, MSE: 0.0188
2025-05-13 01:38:13 - INFO - Epoch 39/400, Loss: 0.7464, Dice: 0.7404, MSE: 0.0199
2025-05-13 01:38:27 - INFO - Epoch 40/400, Loss: 0.6582, Dice: 0.6529, MSE: 0.0175
2025-05-13 01:38:27 - INFO - 模型已保存至: epoch_40.pth
2025-05-13 01:38:41 - INFO - Epoch 41/400, Loss: 0.6195, Dice: 0.6136, MSE: 0.0198
2025-05-13 01:38:56 - INFO - Epoch 42/400, Loss: 0.6370, Dice: 0.6319, MSE: 0.0169
2025-05-13 01:39:10 - INFO - Epoch 43/400, Loss: 0.6323, Dice: 0.6263, MSE: 0.0198
2025-05-13 01:39:25 - INFO - Epoch 44/400, Loss: 0.7043, Dice: 0.6986, MSE: 0.0193
2025-05-13 01:39:38 - INFO - Epoch 45/400, Loss: 0.6536, Dice: 0.6471, MSE: 0.0217
2025-05-13 01:39:52 - INFO - Epoch 46/400, Loss: 0.6453, Dice: 0.6414, MSE: 0.0128
2025-05-13 01:40:06 - INFO - Epoch 47/400, Loss: 0.6204, Dice: 0.6146, MSE: 0.0196
2025-05-13 01:40:21 - INFO - Epoch 48/400, Loss: 0.5860, Dice: 0.5800, MSE: 0.0200
2025-05-13 01:40:35 - INFO - Epoch 49/400, Loss: 0.6476, Dice: 0.6423, MSE: 0.0177
2025-05-13 01:40:49 - INFO - Epoch 50/400, Loss: 0.6988, Dice: 0.6929, MSE: 0.0197
2025-05-13 01:41:03 - INFO - Epoch 51/400, Loss: 0.6968, Dice: 0.6916, MSE: 0.0172
2025-05-13 01:41:17 - INFO - Epoch 52/400, Loss: 0.6871, Dice: 0.6800, MSE: 0.0238
2025-05-13 01:41:32 - INFO - Epoch 53/400, Loss: 0.6383, Dice: 0.6324, MSE: 0.0197
2025-05-13 01:41:46 - INFO - Epoch 54/400, Loss: 0.6548, Dice: 0.6498, MSE: 0.0164
2025-05-13 01:42:00 - INFO - Epoch 55/400, Loss: 0.6111, Dice: 0.6063, MSE: 0.0161
2025-05-13 01:42:14 - INFO - Epoch 56/400, Loss: 0.6279, Dice: 0.6225, MSE: 0.0181
2025-05-13 01:42:29 - INFO - Epoch 57/400, Loss: 0.6191, Dice: 0.6136, MSE: 0.0185
2025-05-13 01:42:42 - INFO - Epoch 58/400, Loss: 0.5156, Dice: 0.5100, MSE: 0.0187
2025-05-13 01:42:57 - INFO - Epoch 59/400, Loss: 0.5928, Dice: 0.5873, MSE: 0.0185
2025-05-13 01:43:11 - INFO - Epoch 60/400, Loss: 0.6166, Dice: 0.6104, MSE: 0.0207
2025-05-13 01:43:11 - INFO - 模型已保存至: epoch_60.pth
2025-05-13 01:43:25 - INFO - Epoch 61/400, Loss: 0.5618, Dice: 0.5560, MSE: 0.0195
2025-05-13 01:43:40 - INFO - Epoch 62/400, Loss: 0.5921, Dice: 0.5855, MSE: 0.0221
2025-05-13 01:43:53 - INFO - Epoch 63/400, Loss: 0.5894, Dice: 0.5842, MSE: 0.0172
2025-05-13 01:44:08 - INFO - Epoch 64/400, Loss: 0.6231, Dice: 0.6171, MSE: 0.0199
2025-05-13 01:44:21 - INFO - Epoch 65/400, Loss: 0.5980, Dice: 0.5924, MSE: 0.0185
2025-05-13 01:44:36 - INFO - Epoch 66/400, Loss: 0.5198, Dice: 0.5154, MSE: 0.0147
2025-05-13 01:44:50 - INFO - Epoch 67/400, Loss: 0.5408, Dice: 0.5359, MSE: 0.0163
2025-05-13 01:45:04 - INFO - Epoch 68/400, Loss: 0.6015, Dice: 0.5963, MSE: 0.0176
2025-05-13 01:45:18 - INFO - Epoch 69/400, Loss: 0.5289, Dice: 0.5237, MSE: 0.0174
2025-05-13 01:45:32 - INFO - Epoch 70/400, Loss: 0.6034, Dice: 0.5986, MSE: 0.0158
2025-05-13 01:45:47 - INFO - Epoch 71/400, Loss: 0.5625, Dice: 0.5569, MSE: 0.0186
2025-05-13 01:46:00 - INFO - Epoch 72/400, Loss: 0.4329, Dice: 0.4282, MSE: 0.0155
2025-05-13 01:46:15 - INFO - Epoch 73/400, Loss: 0.6329, Dice: 0.6250, MSE: 0.0262
2025-05-13 01:46:29 - INFO - Epoch 74/400, Loss: 0.5473, Dice: 0.5428, MSE: 0.0149
2025-05-13 01:46:43 - INFO - Epoch 75/400, Loss: 0.5974, Dice: 0.5922, MSE: 0.0173
2025-05-13 01:46:57 - INFO - Epoch 76/400, Loss: 0.5497, Dice: 0.5434, MSE: 0.0212
2025-05-13 01:47:12 - INFO - Epoch 77/400, Loss: 0.5859, Dice: 0.5807, MSE: 0.0173
2025-05-13 01:47:25 - INFO - Epoch 78/400, Loss: 0.6598, Dice: 0.6550, MSE: 0.0161
2025-05-13 01:47:39 - INFO - Epoch 79/400, Loss: 0.5863, Dice: 0.5814, MSE: 0.0162
