2025-07-08 19:46:21 - INFO - Logging is set up.
2025-07-08 19:46:21 - INFO - 训练配置参数:
{'seed': 42, 'epochs': 1000, 'batch_size': 2, 'num_classes': 16, 'learning_rate': 0.001, 'dataset_path': './datasets/Amos', 'log_path': './result/SAM3D_VNet_SSL/Amos_18_SemiSupervised_V15/Training.log', 'pth_path': './result/SAM3D_VNet_SSL/Amos_18_SemiSupervised_V15/Pth', 'tensorboard_path': './result/SAM3D_VNet_SSL/Amos_18_SemiSupervised_V15/Train', 'continue_train': False, 'multi_gpu': True, 'training_label_num': 18, 'training_unlabel_num': 162, 'label_bs': 1, 'unlabel_bs': 1, 'consistency_weight': 0.3, 'pretrained_weights': None}
2025-07-08 19:46:22 - INFO - 数据集加载完成，样本总数: 180
2025-07-08 19:46:23 - INFO - 使用 2 个GPU
2025-07-08 19:46:23 - INFO - 模型总参数: 167,640,398
2025-07-08 19:46:23 - INFO - 可训练参数: 167,640,398
2025-07-08 19:47:01 - INFO - Epoch 1/1000, Loss: 2.8359, Dice: 2.8353, MSE: 0.0019
2025-07-08 19:47:38 - INFO - Epoch 2/1000, Loss: 2.5323, Dice: 2.5318, MSE: 0.0017
2025-07-08 19:48:15 - INFO - Epoch 3/1000, Loss: 2.4080, Dice: 2.4074, MSE: 0.0020
2025-07-08 19:48:53 - INFO - Epoch 4/1000, Loss: 2.1414, Dice: 2.1400, MSE: 0.0046
2025-07-08 19:49:31 - INFO - Epoch 5/1000, Loss: 1.9453, Dice: 1.9432, MSE: 0.0070
2025-07-08 19:50:08 - INFO - Epoch 6/1000, Loss: 1.7727, Dice: 1.7693, MSE: 0.0114
2025-07-08 19:50:46 - INFO - Epoch 7/1000, Loss: 1.6503, Dice: 1.6453, MSE: 0.0165
2025-07-08 19:51:24 - INFO - Epoch 8/1000, Loss: 1.6503, Dice: 1.6453, MSE: 0.0167
2025-07-08 19:52:01 - INFO - Epoch 9/1000, Loss: 1.4888, Dice: 1.4813, MSE: 0.0249
2025-07-08 19:52:39 - INFO - Epoch 10/1000, Loss: 1.4649, Dice: 1.4572, MSE: 0.0257
2025-07-08 19:53:17 - INFO - Epoch 11/1000, Loss: 1.4249, Dice: 1.4161, MSE: 0.0293
2025-07-08 19:53:54 - INFO - Epoch 12/1000, Loss: 1.4537, Dice: 1.4451, MSE: 0.0284
2025-07-08 19:54:32 - INFO - Epoch 13/1000, Loss: 1.3547, Dice: 1.3447, MSE: 0.0333
2025-07-08 19:55:10 - INFO - Epoch 14/1000, Loss: 1.3381, Dice: 1.3279, MSE: 0.0339
2025-07-08 19:55:48 - INFO - Epoch 15/1000, Loss: 1.2952, Dice: 1.2840, MSE: 0.0372
2025-07-08 19:56:25 - INFO - Epoch 16/1000, Loss: 1.3157, Dice: 1.3049, MSE: 0.0360
2025-07-08 19:57:03 - INFO - Epoch 17/1000, Loss: 1.3008, Dice: 1.2899, MSE: 0.0362
2025-07-08 19:57:41 - INFO - Epoch 18/1000, Loss: 1.2728, Dice: 1.2614, MSE: 0.0379
2025-07-08 19:58:19 - INFO - Epoch 19/1000, Loss: 1.3145, Dice: 1.3042, MSE: 0.0345
2025-07-08 19:58:56 - INFO - Epoch 20/1000, Loss: 1.2625, Dice: 1.2514, MSE: 0.0370
2025-07-08 19:58:59 - INFO - 模型已保存至: epoch_20.pth
2025-07-08 19:59:36 - INFO - Epoch 21/1000, Loss: 1.2789, Dice: 1.2682, MSE: 0.0359
2025-07-08 20:00:14 - INFO - Epoch 22/1000, Loss: 1.2372, Dice: 1.2259, MSE: 0.0377
2025-07-08 20:00:52 - INFO - Epoch 23/1000, Loss: 1.3187, Dice: 1.3090, MSE: 0.0324
2025-07-08 20:01:29 - INFO - Epoch 24/1000, Loss: 1.2326, Dice: 1.2217, MSE: 0.0365
2025-07-08 20:02:07 - INFO - Epoch 25/1000, Loss: 1.2225, Dice: 1.2116, MSE: 0.0365
