2025-07-12 16:32:32 - INFO - Logging is set up.
2025-07-12 16:32:32 - INFO - 训练配置参数:
{'seed': 42, 'epochs': 1000, 'batch_size': 2, 'num_classes': 16, 'learning_rate': 0.001, 'dataset_path': './datasets/Amos', 'log_path': './result/SAM3D_VNet_SSL/Amos_90_SemiSupervised_V15_2/Training.log', 'pth_path': './result/SAM3D_VNet_SSL/Amos_90_SemiSupervised_V15_2/Pth', 'tensorboard_path': './result/SAM3D_VNet_SSL/Amos_90_SemiSupervised_V15_2/Train', 'continue_train': False, 'multi_gpu': True, 'training_label_num': 90, 'training_unlabel_num': 90, 'label_bs': 1, 'unlabel_bs': 1, 'consistency_weight': 0.2, 'pretrained_weights': './result/VNet_Multi_V3/Amos_90/Pth/Best.pth'}
2025-07-12 16:32:48 - INFO - 数据集加载完成，样本总数: 180
2025-07-12 16:32:48 - INFO - 使用 2 个GPU
2025-07-12 16:32:48 - INFO - 模型总参数: 120,482,142
2025-07-12 16:32:48 - INFO - 可训练参数: 120,482,142
2025-07-12 16:35:02 - INFO - Epoch 1/1000, Loss: 2.7753, Dice: 2.7751, MSE: 0.0010
2025-07-12 16:37:12 - INFO - Epoch 2/1000, Loss: 2.2859, Dice: 2.2851, MSE: 0.0038
2025-07-12 16:39:23 - INFO - Epoch 3/1000, Loss: 1.8757, Dice: 1.8734, MSE: 0.0116
2025-07-12 16:41:34 - INFO - Epoch 4/1000, Loss: 1.6196, Dice: 1.6156, MSE: 0.0199
2025-07-12 16:43:45 - INFO - Epoch 5/1000, Loss: 1.4493, Dice: 1.4438, MSE: 0.0273
2025-07-12 16:45:55 - INFO - Epoch 6/1000, Loss: 1.4021, Dice: 1.3964, MSE: 0.0284
2025-07-12 16:48:06 - INFO - Epoch 7/1000, Loss: 1.3458, Dice: 1.3400, MSE: 0.0290
2025-07-12 16:50:17 - INFO - Epoch 8/1000, Loss: 1.3060, Dice: 1.2999, MSE: 0.0304
2025-07-12 16:52:28 - INFO - Epoch 9/1000, Loss: 1.2941, Dice: 1.2881, MSE: 0.0300
2025-07-12 16:54:39 - INFO - Epoch 10/1000, Loss: 1.2538, Dice: 1.2476, MSE: 0.0310
2025-07-12 16:56:49 - INFO - Epoch 11/1000, Loss: 1.2751, Dice: 1.2693, MSE: 0.0290
2025-07-12 16:59:00 - INFO - Epoch 12/1000, Loss: 1.2431, Dice: 1.2371, MSE: 0.0297
2025-07-12 17:01:11 - INFO - Epoch 13/1000, Loss: 1.2320, Dice: 1.2261, MSE: 0.0293
2025-07-12 17:03:22 - INFO - Epoch 14/1000, Loss: 1.2323, Dice: 1.2265, MSE: 0.0290
2025-07-12 17:05:33 - INFO - Epoch 15/1000, Loss: 1.2184, Dice: 1.2126, MSE: 0.0291
2025-07-12 17:07:44 - INFO - Epoch 16/1000, Loss: 1.2086, Dice: 1.2027, MSE: 0.0293
2025-07-12 17:09:56 - INFO - Epoch 17/1000, Loss: 1.2006, Dice: 1.1948, MSE: 0.0291
2025-07-12 17:12:07 - INFO - Epoch 18/1000, Loss: 1.2147, Dice: 1.2094, MSE: 0.0270
2025-07-12 17:14:18 - INFO - Epoch 19/1000, Loss: 1.2106, Dice: 1.2056, MSE: 0.0249
2025-07-12 17:16:29 - INFO - Epoch 20/1000, Loss: 1.1693, Dice: 1.1649, MSE: 0.0219
2025-07-12 17:16:31 - INFO - 模型已保存至: epoch_20.pth
2025-07-12 17:18:41 - INFO - Epoch 21/1000, Loss: 1.1763, Dice: 1.1721, MSE: 0.0208
2025-07-12 17:20:52 - INFO - Epoch 22/1000, Loss: 1.1529, Dice: 1.1488, MSE: 0.0204
2025-07-12 17:23:03 - INFO - Epoch 23/1000, Loss: 1.1675, Dice: 1.1636, MSE: 0.0195
2025-07-12 17:25:13 - INFO - Epoch 24/1000, Loss: 1.1203, Dice: 1.1164, MSE: 0.0198
2025-07-12 17:27:24 - INFO - Epoch 25/1000, Loss: 1.1197, Dice: 1.1158, MSE: 0.0194
2025-07-12 17:29:35 - INFO - Epoch 26/1000, Loss: 1.1278, Dice: 1.1240, MSE: 0.0191
2025-07-12 17:31:45 - INFO - Epoch 27/1000, Loss: 1.1293, Dice: 1.1255, MSE: 0.0191
2025-07-12 17:33:56 - INFO - Epoch 28/1000, Loss: 1.1144, Dice: 1.1106, MSE: 0.0190
2025-07-12 17:36:08 - INFO - Epoch 29/1000, Loss: 1.1030, Dice: 1.0992, MSE: 0.0187
2025-07-12 17:38:19 - INFO - Epoch 30/1000, Loss: 1.0866, Dice: 1.0828, MSE: 0.0190
2025-07-12 17:40:30 - INFO - Epoch 31/1000, Loss: 1.0931, Dice: 1.0894, MSE: 0.0185
2025-07-12 17:42:41 - INFO - Epoch 32/1000, Loss: 1.0912, Dice: 1.0875, MSE: 0.0186
2025-07-12 17:44:52 - INFO - Epoch 33/1000, Loss: 1.0894, Dice: 1.0857, MSE: 0.0186
2025-07-12 17:47:03 - INFO - Epoch 34/1000, Loss: 1.0566, Dice: 1.0528, MSE: 0.0188
2025-07-12 17:49:14 - INFO - Epoch 35/1000, Loss: 1.0669, Dice: 1.0632, MSE: 0.0186
2025-07-12 17:51:25 - INFO - Epoch 36/1000, Loss: 1.0622, Dice: 1.0590, MSE: 0.0162
2025-07-12 17:53:36 - INFO - Epoch 37/1000, Loss: 1.0832, Dice: 1.0802, MSE: 0.0149
2025-07-12 17:55:47 - INFO - Epoch 38/1000, Loss: 1.0194, Dice: 1.0164, MSE: 0.0150
2025-07-12 17:57:58 - INFO - Epoch 39/1000, Loss: 1.0335, Dice: 1.0305, MSE: 0.0148
2025-07-12 18:00:09 - INFO - Epoch 40/1000, Loss: 1.0188, Dice: 1.0158, MSE: 0.0148
2025-07-12 18:00:11 - INFO - 模型已保存至: epoch_40.pth
2025-07-12 18:02:21 - INFO - Epoch 41/1000, Loss: 0.9905, Dice: 0.9875, MSE: 0.0149
2025-07-12 18:04:33 - INFO - Epoch 42/1000, Loss: 0.9670, Dice: 0.9640, MSE: 0.0148
2025-07-12 18:06:44 - INFO - Epoch 43/1000, Loss: 0.9668, Dice: 0.9639, MSE: 0.0147
2025-07-12 18:08:55 - INFO - Epoch 44/1000, Loss: 0.9916, Dice: 0.9887, MSE: 0.0146
2025-07-12 18:11:06 - INFO - Epoch 45/1000, Loss: 0.9660, Dice: 0.9631, MSE: 0.0147
2025-07-12 18:13:17 - INFO - Epoch 46/1000, Loss: 0.9330, Dice: 0.9300, MSE: 0.0148
2025-07-12 18:15:28 - INFO - Epoch 47/1000, Loss: 0.9325, Dice: 0.9296, MSE: 0.0146
2025-07-12 18:17:39 - INFO - Epoch 48/1000, Loss: 0.9592, Dice: 0.9562, MSE: 0.0148
2025-07-12 18:19:50 - INFO - Epoch 49/1000, Loss: 0.9303, Dice: 0.9274, MSE: 0.0147
2025-07-12 18:22:01 - INFO - Epoch 50/1000, Loss: 0.9219, Dice: 0.9193, MSE: 0.0127
2025-07-12 18:24:12 - INFO - Epoch 51/1000, Loss: 0.9317, Dice: 0.9302, MSE: 0.0076
2025-07-12 18:26:23 - INFO - Epoch 52/1000, Loss: 0.9284, Dice: 0.9269, MSE: 0.0071
2025-07-12 18:28:34 - INFO - Epoch 53/1000, Loss: 0.9300, Dice: 0.9285, MSE: 0.0070
2025-07-12 18:30:45 - INFO - Epoch 54/1000, Loss: 0.9233, Dice: 0.9219, MSE: 0.0069
2025-07-12 18:32:56 - INFO - Epoch 55/1000, Loss: 0.8828, Dice: 0.8814, MSE: 0.0068
2025-07-12 18:35:07 - INFO - Epoch 56/1000, Loss: 0.8735, Dice: 0.8721, MSE: 0.0067
2025-07-12 18:37:18 - INFO - Epoch 57/1000, Loss: 0.8943, Dice: 0.8929, MSE: 0.0068
2025-07-12 18:39:29 - INFO - Epoch 58/1000, Loss: 0.8669, Dice: 0.8655, MSE: 0.0067
2025-07-12 18:41:41 - INFO - Epoch 59/1000, Loss: 0.8550, Dice: 0.8537, MSE: 0.0067
2025-07-12 18:43:52 - INFO - Epoch 60/1000, Loss: 0.8548, Dice: 0.8535, MSE: 0.0066
2025-07-12 18:43:53 - INFO - 模型已保存至: epoch_60.pth
2025-07-12 18:46:04 - INFO - Epoch 61/1000, Loss: 0.8592, Dice: 0.8579, MSE: 0.0066
2025-07-12 18:48:15 - INFO - Epoch 62/1000, Loss: 0.8561, Dice: 0.8548, MSE: 0.0068
2025-07-12 18:50:26 - INFO - Epoch 63/1000, Loss: 0.8470, Dice: 0.8457, MSE: 0.0065
2025-07-12 18:52:37 - INFO - Epoch 64/1000, Loss: 0.8410, Dice: 0.8396, MSE: 0.0067
2025-07-12 18:54:48 - INFO - Epoch 65/1000, Loss: 0.8341, Dice: 0.8328, MSE: 0.0065
2025-07-12 18:56:59 - INFO - Epoch 66/1000, Loss: 0.8377, Dice: 0.8364, MSE: 0.0065
2025-07-12 18:59:10 - INFO - Epoch 67/1000, Loss: 0.8279, Dice: 0.8267, MSE: 0.0064
2025-07-12 19:01:22 - INFO - Epoch 68/1000, Loss: 0.8199, Dice: 0.8186, MSE: 0.0065
2025-07-12 19:03:33 - INFO - Epoch 69/1000, Loss: 0.8267, Dice: 0.8254, MSE: 0.0065
2025-07-12 19:05:44 - INFO - Epoch 70/1000, Loss: 0.7867, Dice: 0.7854, MSE: 0.0064
2025-07-12 19:07:55 - INFO - Epoch 71/1000, Loss: 0.7924, Dice: 0.7911, MSE: 0.0066
2025-07-12 19:10:06 - INFO - Epoch 72/1000, Loss: 0.7939, Dice: 0.7926, MSE: 0.0064
2025-07-12 19:12:17 - INFO - Epoch 73/1000, Loss: 0.8098, Dice: 0.8085, MSE: 0.0066
2025-07-12 19:14:28 - INFO - Epoch 74/1000, Loss: 0.8064, Dice: 0.8051, MSE: 0.0065
