2025-06-26 17:57:55 - INFO - Logging is set up.
2025-06-26 17:57:55 - INFO - 训练配置参数:
{'seed': 42, 'epochs': 200, 'batch_size': 6, 'num_classes': 16, 'learning_rate': 0.001, 'dataset_path': './datasets/Amos', 'log_path': './result/SAM3D_VNet_SSL/Amos_SemiSupervised/Training.log', 'pth_path': './result/SAM3D_VNet_SSL/Amos_SemiSupervised/Pth', 'tensorboard_path': './result/SAM3D_VNet_SSL/Amos_SemiSupervised/Train', 'continue_train': False, 'multi_gpu': True, 'training_label_num': 90, 'training_unlabel_num': 90, 'label_bs': 3, 'unlabel_bs': 3, 'consistency_weight': 0.3, 'pretrained_weights': None}
2025-06-26 17:58:11 - INFO - 数据集加载完成，样本总数: 180
2025-06-26 17:58:12 - INFO - 使用 2 个GPU
2025-06-26 17:58:12 - INFO - 模型总参数: 18,373,920
2025-06-26 17:58:12 - INFO - 可训练参数: 18,373,920
2025-06-26 17:59:04 - INFO - Epoch 1/200, Loss: 2.9722, Dice: 2.9721, MSE: 0.0004
2025-06-26 17:59:53 - INFO - Epoch 2/200, Loss: 2.7318, Dice: 2.7316, MSE: 0.0005
2025-06-26 18:00:41 - INFO - Epoch 3/200, Loss: 2.5428, Dice: 2.5423, MSE: 0.0014
2025-06-26 18:01:30 - INFO - Epoch 4/200, Loss: 2.3972, Dice: 2.3966, MSE: 0.0019
2025-06-26 18:02:18 - INFO - Epoch 5/200, Loss: 2.1676, Dice: 2.1664, MSE: 0.0038
2025-06-26 18:03:07 - INFO - Epoch 6/200, Loss: 2.0371, Dice: 2.0357, MSE: 0.0046
2025-06-26 18:03:56 - INFO - Epoch 7/200, Loss: 1.8855, Dice: 1.8835, MSE: 0.0065
2025-06-26 18:04:44 - INFO - Epoch 8/200, Loss: 1.7908, Dice: 1.7889, MSE: 0.0062
2025-06-26 18:05:33 - INFO - Epoch 9/200, Loss: 1.7344, Dice: 1.7318, MSE: 0.0088
2025-06-26 18:06:21 - INFO - Epoch 10/200, Loss: 1.6239, Dice: 1.6216, MSE: 0.0075
2025-06-26 18:07:10 - INFO - Epoch 11/200, Loss: 1.5624, Dice: 1.5601, MSE: 0.0077
