2025-04-24 11:12:19 - INFO - Logging is set up.
2025-04-24 11:12:19 - INFO - 训练配置参数:
{'seed': 42, 'epochs': 1000, 'batch_size': 5, 'num_classes': 2, 'learning_rate': 0.001, 'dataset_path': './datasets/LA', 'log_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised/Training.log', 'pth_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised/Pth', 'tensorboard_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised/Train', 'continue_train': False, 'multi_gpu': True, 'training_label_num': 16, 'training_unlabel_num': 64, 'label_bs': 1, 'unlabel_bs': 4, 'consistency_weight': 0.3, 'pretrained_weights': None}
2025-04-24 11:12:20 - INFO - 使用 2 个GPU
2025-04-24 11:12:20 - INFO - 模型总参数: 144,164,835
2025-04-24 11:12:20 - INFO - 可训练参数: 144,164,835
2025-04-24 11:12:49 - INFO - Epoch 1/1000, Loss: 0.5300, Dice: 0.5129, MSE: 0.0572
2025-04-24 11:13:15 - INFO - Epoch 2/1000, Loss: 0.4868, Dice: 0.4714, MSE: 0.0514
2025-04-24 11:13:41 - INFO - Epoch 3/1000, Loss: 0.3845, Dice: 0.3709, MSE: 0.0454
2025-04-24 11:14:09 - INFO - Epoch 4/1000, Loss: 0.3701, Dice: 0.3579, MSE: 0.0408
2025-04-24 11:14:37 - INFO - Epoch 5/1000, Loss: 0.3424, Dice: 0.3320, MSE: 0.0345
2025-04-24 11:15:05 - INFO - Epoch 6/1000, Loss: 0.3389, Dice: 0.3278, MSE: 0.0368
2025-04-24 11:15:32 - INFO - Epoch 7/1000, Loss: 0.3190, Dice: 0.3079, MSE: 0.0369
2025-04-24 11:16:00 - INFO - Epoch 8/1000, Loss: 0.2893, Dice: 0.2733, MSE: 0.0532
2025-04-24 11:16:25 - INFO - Epoch 9/1000, Loss: 0.3031, Dice: 0.2865, MSE: 0.0551
2025-04-24 11:16:51 - INFO - Epoch 10/1000, Loss: 0.2761, Dice: 0.2543, MSE: 0.0726
2025-04-24 11:16:53 - INFO - 模型已保存至: epoch_10.pth
2025-04-24 11:17:18 - INFO - Epoch 11/1000, Loss: 0.3134, Dice: 0.2881, MSE: 0.0843
2025-04-24 11:17:44 - INFO - Epoch 12/1000, Loss: 0.2921, Dice: 0.2771, MSE: 0.0500
2025-04-24 11:18:10 - INFO - Epoch 13/1000, Loss: 0.2604, Dice: 0.2430, MSE: 0.0581
2025-04-24 11:18:36 - INFO - Epoch 14/1000, Loss: 0.2661, Dice: 0.2521, MSE: 0.0467
2025-04-24 11:19:01 - INFO - Epoch 15/1000, Loss: 0.2471, Dice: 0.2290, MSE: 0.0604
2025-04-24 11:19:27 - INFO - Epoch 16/1000, Loss: 0.2497, Dice: 0.2320, MSE: 0.0590
2025-04-24 11:19:53 - INFO - Epoch 17/1000, Loss: 0.2846, Dice: 0.2697, MSE: 0.0495
2025-04-24 11:20:21 - INFO - Epoch 18/1000, Loss: 0.2685, Dice: 0.2523, MSE: 0.0541
2025-04-24 11:20:49 - INFO - Epoch 19/1000, Loss: 0.2508, Dice: 0.2328, MSE: 0.0602
2025-04-24 11:21:16 - INFO - Epoch 20/1000, Loss: 0.2964, Dice: 0.2770, MSE: 0.0648
2025-04-24 11:21:18 - INFO - 模型已保存至: epoch_20.pth
2025-04-24 11:21:46 - INFO - Epoch 21/1000, Loss: 0.2624, Dice: 0.2444, MSE: 0.0598
2025-04-24 11:22:13 - INFO - Epoch 22/1000, Loss: 0.2298, Dice: 0.2045, MSE: 0.0843
2025-04-24 11:22:39 - INFO - Epoch 23/1000, Loss: 0.2610, Dice: 0.2243, MSE: 0.1222
2025-04-24 11:23:04 - INFO - Epoch 24/1000, Loss: 0.2775, Dice: 0.2410, MSE: 0.1218
2025-04-24 11:23:30 - INFO - Epoch 25/1000, Loss: 0.2586, Dice: 0.2215, MSE: 0.1238
2025-04-24 11:23:56 - INFO - Epoch 26/1000, Loss: 0.2212, Dice: 0.1856, MSE: 0.1189
2025-04-24 11:24:21 - INFO - Epoch 27/1000, Loss: 0.2306, Dice: 0.1940, MSE: 0.1221
2025-04-24 11:24:47 - INFO - Epoch 28/1000, Loss: 0.2560, Dice: 0.2240, MSE: 0.1067
2025-04-24 11:25:12 - INFO - Epoch 29/1000, Loss: 0.2419, Dice: 0.2118, MSE: 0.1004
2025-04-24 11:25:37 - INFO - Epoch 30/1000, Loss: 0.2496, Dice: 0.2208, MSE: 0.0958
2025-04-24 11:25:39 - INFO - 模型已保存至: epoch_30.pth
2025-04-24 11:26:07 - INFO - Epoch 31/1000, Loss: 0.2226, Dice: 0.1893, MSE: 0.1109
2025-04-24 11:26:34 - INFO - Epoch 32/1000, Loss: 0.2199, Dice: 0.1854, MSE: 0.1150
2025-04-24 11:27:02 - INFO - Epoch 33/1000, Loss: 0.2498, Dice: 0.2158, MSE: 0.1133
2025-04-24 11:27:30 - INFO - Epoch 34/1000, Loss: 0.2317, Dice: 0.1960, MSE: 0.1187
2025-04-24 11:27:58 - INFO - Epoch 35/1000, Loss: 0.2737, Dice: 0.2383, MSE: 0.1178
