2025-05-09 13:30:48 - INFO - Logging is set up.
2025-05-09 13:30:48 - INFO - 训练配置参数:
{'seed': 42, 'epochs': 1000, 'batch_size': 5, 'num_classes': 2, 'learning_rate': 0.001, 'dataset_path': './datasets/LA', 'log_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_400Points/Training.log', 'pth_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_400Points/Pth', 'tensorboard_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_400Points/Train', 'continue_train': False, 'multi_gpu': True, 'training_label_num': 16, 'training_unlabel_num': 64, 'label_bs': 1, 'unlabel_bs': 4, 'consistency_weight': 0.3, 'pretrained_weights': None}
2025-05-09 13:30:50 - INFO - 使用 2 个GPU
2025-05-09 13:30:50 - INFO - 模型总参数: 115,813,347
2025-05-09 13:30:50 - INFO - 可训练参数: 115,813,347
2025-05-09 13:31:11 - INFO - Epoch 1/1000, Loss: 1.0859, Dice: 1.0760, MSE: 0.0331
2025-05-09 13:31:29 - INFO - Epoch 2/1000, Loss: 0.9690, Dice: 0.9626, MSE: 0.0213
2025-05-09 13:31:47 - INFO - Epoch 3/1000, Loss: 0.8924, Dice: 0.8856, MSE: 0.0226
2025-05-09 13:32:05 - INFO - Epoch 4/1000, Loss: 0.7626, Dice: 0.7556, MSE: 0.0233
2025-05-09 13:32:23 - INFO - Epoch 5/1000, Loss: 0.7550, Dice: 0.7479, MSE: 0.0235
2025-05-09 13:32:41 - INFO - Epoch 6/1000, Loss: 0.6981, Dice: 0.6890, MSE: 0.0302
2025-05-09 13:32:58 - INFO - Epoch 7/1000, Loss: 0.6741, Dice: 0.6657, MSE: 0.0278
2025-05-09 13:33:16 - INFO - Epoch 8/1000, Loss: 0.6809, Dice: 0.6725, MSE: 0.0279
2025-05-09 13:33:34 - INFO - Epoch 9/1000, Loss: 0.6144, Dice: 0.6029, MSE: 0.0385
2025-05-09 13:33:52 - INFO - Epoch 10/1000, Loss: 0.6044, Dice: 0.5911, MSE: 0.0443
2025-05-09 13:34:10 - INFO - Epoch 11/1000, Loss: 0.6170, Dice: 0.6038, MSE: 0.0441
2025-05-09 13:34:27 - INFO - Epoch 12/1000, Loss: 0.6554, Dice: 0.6451, MSE: 0.0345
2025-05-09 13:34:45 - INFO - Epoch 13/1000, Loss: 0.5809, Dice: 0.5703, MSE: 0.0354
2025-05-09 13:35:02 - INFO - Epoch 14/1000, Loss: 0.5592, Dice: 0.5461, MSE: 0.0436
2025-05-09 13:35:20 - INFO - Epoch 15/1000, Loss: 0.5711, Dice: 0.5521, MSE: 0.0635
2025-05-09 13:35:37 - INFO - Epoch 16/1000, Loss: 0.5737, Dice: 0.5442, MSE: 0.0983
2025-05-09 13:35:55 - INFO - Epoch 17/1000, Loss: 0.5747, Dice: 0.5406, MSE: 0.1136
2025-05-09 13:36:12 - INFO - Epoch 18/1000, Loss: 0.5528, Dice: 0.5254, MSE: 0.0911
2025-05-09 13:36:30 - INFO - Epoch 19/1000, Loss: 0.5635, Dice: 0.5360, MSE: 0.0915
2025-05-09 13:36:47 - INFO - Epoch 20/1000, Loss: 0.5451, Dice: 0.5160, MSE: 0.0969
2025-05-09 13:36:48 - INFO - 模型已保存至: epoch_20.pth
2025-05-09 13:37:05 - INFO - Epoch 21/1000, Loss: 0.5216, Dice: 0.4897, MSE: 0.1065
2025-05-09 13:37:23 - INFO - Epoch 22/1000, Loss: 0.6699, Dice: 0.6378, MSE: 0.1070
2025-05-09 13:37:40 - INFO - Epoch 23/1000, Loss: 0.6432, Dice: 0.6154, MSE: 0.0925
2025-05-09 13:37:57 - INFO - Epoch 24/1000, Loss: 0.5853, Dice: 0.5547, MSE: 0.1018
2025-05-09 13:38:14 - INFO - Epoch 25/1000, Loss: 0.6134, Dice: 0.5815, MSE: 0.1062
2025-05-09 13:38:32 - INFO - Epoch 26/1000, Loss: 0.5456, Dice: 0.5167, MSE: 0.0963
2025-05-09 13:38:49 - INFO - Epoch 27/1000, Loss: 0.5988, Dice: 0.5760, MSE: 0.0758
2025-05-09 13:39:06 - INFO - Epoch 28/1000, Loss: 0.5555, Dice: 0.5319, MSE: 0.0787
2025-05-09 13:39:24 - INFO - Epoch 29/1000, Loss: 0.5843, Dice: 0.5574, MSE: 0.0896
2025-05-09 13:39:41 - INFO - Epoch 30/1000, Loss: 0.5479, Dice: 0.5234, MSE: 0.0814
2025-05-09 13:39:59 - INFO - Epoch 31/1000, Loss: 0.5164, Dice: 0.4895, MSE: 0.0895
2025-05-09 13:40:16 - INFO - Epoch 32/1000, Loss: 0.5216, Dice: 0.4950, MSE: 0.0889
2025-05-09 13:40:34 - INFO - Epoch 33/1000, Loss: 0.5513, Dice: 0.5243, MSE: 0.0902
2025-05-09 13:40:51 - INFO - Epoch 34/1000, Loss: 0.5240, Dice: 0.4974, MSE: 0.0885
2025-05-09 13:41:09 - INFO - Epoch 35/1000, Loss: 0.4707, Dice: 0.4446, MSE: 0.0870
2025-05-09 13:41:26 - INFO - Epoch 36/1000, Loss: 0.4435, Dice: 0.4180, MSE: 0.0852
2025-05-09 13:41:43 - INFO - Epoch 37/1000, Loss: 0.4805, Dice: 0.4538, MSE: 0.0888
2025-05-09 13:42:01 - INFO - Epoch 38/1000, Loss: 0.4190, Dice: 0.3941, MSE: 0.0829
2025-05-09 13:42:18 - INFO - Epoch 39/1000, Loss: 0.4322, Dice: 0.4046, MSE: 0.0919
2025-05-09 13:42:36 - INFO - Epoch 40/1000, Loss: 0.4513, Dice: 0.4221, MSE: 0.0972
2025-05-09 13:42:37 - INFO - 模型已保存至: epoch_40.pth
2025-05-09 13:42:55 - INFO - Epoch 41/1000, Loss: 0.4789, Dice: 0.4479, MSE: 0.1031
2025-05-09 13:43:12 - INFO - Epoch 42/1000, Loss: 0.4282, Dice: 0.3981, MSE: 0.1004
2025-05-09 13:43:29 - INFO - Epoch 43/1000, Loss: 0.4933, Dice: 0.4593, MSE: 0.1131
2025-05-09 13:43:47 - INFO - Epoch 44/1000, Loss: 0.4623, Dice: 0.4289, MSE: 0.1112
2025-05-09 13:44:04 - INFO - Epoch 45/1000, Loss: 0.4320, Dice: 0.4013, MSE: 0.1022
2025-05-09 13:44:22 - INFO - Epoch 46/1000, Loss: 0.4205, Dice: 0.3875, MSE: 0.1102
2025-05-09 13:44:39 - INFO - Epoch 47/1000, Loss: 0.3717, Dice: 0.3424, MSE: 0.0977
2025-05-09 13:44:56 - INFO - Epoch 48/1000, Loss: 0.3735, Dice: 0.3463, MSE: 0.0907
2025-05-09 13:45:12 - INFO - Epoch 49/1000, Loss: 0.3911, Dice: 0.3609, MSE: 0.1005
2025-05-09 13:45:30 - INFO - Epoch 50/1000, Loss: 0.5140, Dice: 0.4798, MSE: 0.1137
2025-05-09 13:45:46 - INFO - Epoch 51/1000, Loss: 0.5364, Dice: 0.4993, MSE: 0.1237
2025-05-09 13:46:03 - INFO - Epoch 52/1000, Loss: 0.5032, Dice: 0.4717, MSE: 0.1049
2025-05-09 13:46:20 - INFO - Epoch 53/1000, Loss: 0.4530, Dice: 0.4239, MSE: 0.0972
2025-05-09 13:46:37 - INFO - Epoch 54/1000, Loss: 0.3983, Dice: 0.3705, MSE: 0.0930
