2025-04-28 16:27:34 - INFO - Logging is set up.
2025-04-28 16:27:34 - INFO - 训练配置参数:
{'seed': 42, 'epochs': 1000, 'batch_size': 5, 'num_classes': 2, 'learning_rate': 0.001, 'dataset_path': './datasets/LA', 'log_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_8Depth/Training.log', 'pth_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_8Depth', 'tensorboard_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_8Depth/Train', 'continue_train': False, 'multi_gpu': True, 'training_label_num': 16, 'training_unlabel_num': 64, 'label_bs': 1, 'unlabel_bs': 4, 'consistency_weight': 0.3, 'pretrained_weights': None}
2025-04-28 16:27:35 - INFO - 使用 2 个GPU
2025-04-28 16:27:35 - INFO - 模型总参数: 115,813,347
2025-04-28 16:27:35 - INFO - 可训练参数: 115,813,347
2025-04-28 16:28:06 - INFO - Epoch 1/1000, Loss: 0.4919, Dice: 0.4841, MSE: 0.0259
2025-04-28 16:28:33 - INFO - Epoch 2/1000, Loss: 0.4468, Dice: 0.4417, MSE: 0.0170
2025-04-28 16:28:59 - INFO - Epoch 3/1000, Loss: 0.4128, Dice: 0.4042, MSE: 0.0287
2025-04-28 16:29:25 - INFO - Epoch 4/1000, Loss: 0.3798, Dice: 0.3700, MSE: 0.0325
2025-04-28 16:29:52 - INFO - Epoch 5/1000, Loss: 0.3767, Dice: 0.3675, MSE: 0.0303
2025-04-28 16:30:18 - INFO - Epoch 6/1000, Loss: 0.3610, Dice: 0.3539, MSE: 0.0235
2025-04-28 16:30:42 - INFO - Epoch 7/1000, Loss: 0.3419, Dice: 0.3340, MSE: 0.0261
2025-04-28 16:31:07 - INFO - Epoch 8/1000, Loss: 0.3244, Dice: 0.3166, MSE: 0.0259
2025-04-28 16:31:33 - INFO - Epoch 9/1000, Loss: 0.3263, Dice: 0.3177, MSE: 0.0286
2025-04-28 16:32:00 - INFO - Epoch 10/1000, Loss: 0.3444, Dice: 0.3340, MSE: 0.0349
2025-04-28 16:32:26 - INFO - Epoch 11/1000, Loss: 0.3010, Dice: 0.2907, MSE: 0.0345
2025-04-28 16:32:52 - INFO - Epoch 12/1000, Loss: 0.3034, Dice: 0.2862, MSE: 0.0573
2025-04-28 16:33:19 - INFO - Epoch 13/1000, Loss: 0.3154, Dice: 0.3033, MSE: 0.0403
2025-04-28 16:33:45 - INFO - Epoch 14/1000, Loss: 0.2936, Dice: 0.2791, MSE: 0.0483
2025-04-28 16:34:10 - INFO - Epoch 15/1000, Loss: 0.3072, Dice: 0.2791, MSE: 0.0937
2025-04-28 16:34:34 - INFO - Epoch 16/1000, Loss: 0.3037, Dice: 0.2742, MSE: 0.0981
2025-04-28 16:34:59 - INFO - Epoch 17/1000, Loss: 0.3004, Dice: 0.2688, MSE: 0.1055
2025-04-28 16:35:26 - INFO - Epoch 18/1000, Loss: 0.2963, Dice: 0.2707, MSE: 0.0852
2025-04-28 16:35:52 - INFO - Epoch 19/1000, Loss: 0.2986, Dice: 0.2691, MSE: 0.0984
2025-04-28 16:36:19 - INFO - Epoch 20/1000, Loss: 0.2915, Dice: 0.2635, MSE: 0.0934
2025-04-28 16:36:20 - INFO - 模型已保存至: epoch_20.pth
2025-04-28 16:36:47 - INFO - Epoch 21/1000, Loss: 0.2743, Dice: 0.2456, MSE: 0.0954
2025-04-28 16:37:13 - INFO - Epoch 22/1000, Loss: 0.3024, Dice: 0.2743, MSE: 0.0938
2025-04-28 16:37:38 - INFO - Epoch 23/1000, Loss: 0.2724, Dice: 0.2424, MSE: 0.0999
2025-04-28 16:38:03 - INFO - Epoch 24/1000, Loss: 0.2540, Dice: 0.2253, MSE: 0.0958
2025-04-28 16:38:27 - INFO - Epoch 25/1000, Loss: 0.2905, Dice: 0.2610, MSE: 0.0984
2025-04-28 16:38:52 - INFO - Epoch 26/1000, Loss: 0.2576, Dice: 0.2281, MSE: 0.0983
2025-04-28 16:39:18 - INFO - Epoch 27/1000, Loss: 0.2754, Dice: 0.2428, MSE: 0.1086
2025-04-28 16:39:45 - INFO - Epoch 28/1000, Loss: 0.2596, Dice: 0.2264, MSE: 0.1106
2025-04-28 16:40:11 - INFO - Epoch 29/1000, Loss: 0.2663, Dice: 0.2350, MSE: 0.1043
2025-04-28 16:40:37 - INFO - Epoch 30/1000, Loss: 0.2690, Dice: 0.2400, MSE: 0.0968
2025-04-28 16:41:04 - INFO - Epoch 31/1000, Loss: 0.2631, Dice: 0.2277, MSE: 0.1181
2025-04-28 16:41:29 - INFO - Epoch 32/1000, Loss: 0.2852, Dice: 0.2541, MSE: 0.1036
2025-04-28 16:41:54 - INFO - Epoch 33/1000, Loss: 0.2500, Dice: 0.2248, MSE: 0.0838
2025-04-28 16:42:19 - INFO - Epoch 34/1000, Loss: 0.2626, Dice: 0.2332, MSE: 0.0980
2025-04-28 16:42:46 - INFO - Epoch 35/1000, Loss: 0.2531, Dice: 0.2234, MSE: 0.0989
2025-04-28 16:43:12 - INFO - Epoch 36/1000, Loss: 0.2372, Dice: 0.2045, MSE: 0.1093
2025-04-28 16:43:39 - INFO - Epoch 37/1000, Loss: 0.2481, Dice: 0.2193, MSE: 0.0960
2025-04-28 16:44:05 - INFO - Epoch 38/1000, Loss: 0.2499, Dice: 0.2196, MSE: 0.1010
2025-04-28 16:44:31 - INFO - Epoch 39/1000, Loss: 0.2399, Dice: 0.2079, MSE: 0.1067
2025-04-28 16:44:57 - INFO - Epoch 40/1000, Loss: 0.2522, Dice: 0.2159, MSE: 0.1208
