2025-04-29 01:37:26 - INFO - Logging is set up.
2025-04-29 01:37:26 - INFO - 训练配置参数:
{'seed': 42, 'epochs': 1000, 'batch_size': 5, 'num_classes': 2, 'learning_rate': 0.001, 'dataset_path': './datasets/LA', 'log_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_FrozenEncoder/Training.log', 'pth_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_FrozenEncoder/Pth', 'tensorboard_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_FrozenEncoder/Train', 'continue_train': False, 'multi_gpu': True, 'training_label_num': 16, 'training_unlabel_num': 64, 'label_bs': 1, 'unlabel_bs': 4, 'consistency_weight': 0.3, 'pretrained_weights': None}
2025-04-29 01:37:29 - INFO - 使用 2 个GPU
2025-04-29 01:37:29 - INFO - 模型总参数: 115,813,347
2025-04-29 01:37:29 - INFO - 可训练参数: 40,692,963
2025-04-29 01:38:00 - INFO - Epoch 1/1000, Loss: 0.5482, Dice: 0.5406, MSE: 0.0254
2025-04-29 01:38:29 - INFO - Epoch 2/1000, Loss: 0.5085, Dice: 0.5039, MSE: 0.0154
2025-04-29 01:38:58 - INFO - Epoch 3/1000, Loss: 0.4536, Dice: 0.4504, MSE: 0.0107
2025-04-29 01:39:27 - INFO - Epoch 4/1000, Loss: 0.4206, Dice: 0.4151, MSE: 0.0184
2025-04-29 01:39:56 - INFO - Epoch 5/1000, Loss: 0.4118, Dice: 0.4054, MSE: 0.0216
2025-04-29 01:40:24 - INFO - Epoch 6/1000, Loss: 0.3749, Dice: 0.3682, MSE: 0.0225
2025-04-29 01:40:54 - INFO - Epoch 7/1000, Loss: 0.3690, Dice: 0.3624, MSE: 0.0220
2025-04-29 01:41:23 - INFO - Epoch 8/1000, Loss: 0.3743, Dice: 0.3402, MSE: 0.1137
2025-04-29 01:41:49 - INFO - Epoch 9/1000, Loss: 0.3705, Dice: 0.3296, MSE: 0.1364
2025-04-29 01:42:15 - INFO - Epoch 10/1000, Loss: 0.3593, Dice: 0.3189, MSE: 0.1346
2025-04-29 01:42:43 - INFO - Epoch 11/1000, Loss: 0.3482, Dice: 0.3067, MSE: 0.1384
2025-04-29 01:43:11 - INFO - Epoch 12/1000, Loss: 0.3326, Dice: 0.2953, MSE: 0.1243
2025-04-29 01:43:40 - INFO - Epoch 13/1000, Loss: 0.3069, Dice: 0.2672, MSE: 0.1325
2025-04-29 01:44:09 - INFO - Epoch 14/1000, Loss: 0.2923, Dice: 0.2515, MSE: 0.1360
2025-04-29 01:44:37 - INFO - Epoch 15/1000, Loss: 0.3239, Dice: 0.2829, MSE: 0.1365
2025-04-29 01:45:06 - INFO - Epoch 16/1000, Loss: 0.3187, Dice: 0.2803, MSE: 0.1280
2025-04-29 01:45:34 - INFO - Epoch 17/1000, Loss: 0.3071, Dice: 0.2719, MSE: 0.1172
2025-04-29 01:46:02 - INFO - Epoch 18/1000, Loss: 0.3111, Dice: 0.2738, MSE: 0.1244
2025-04-29 01:46:30 - INFO - Epoch 19/1000, Loss: 0.2758, Dice: 0.2444, MSE: 0.1049
2025-04-29 01:46:58 - INFO - Epoch 20/1000, Loss: 0.2837, Dice: 0.2523, MSE: 0.1046
2025-04-29 01:46:59 - INFO - 模型已保存至: epoch_20.pth
2025-04-29 01:47:25 - INFO - Epoch 21/1000, Loss: 0.2654, Dice: 0.2352, MSE: 0.1008
2025-04-29 01:47:53 - INFO - Epoch 22/1000, Loss: 0.2761, Dice: 0.2453, MSE: 0.1029
2025-04-29 01:48:21 - INFO - Epoch 23/1000, Loss: 0.2644, Dice: 0.2298, MSE: 0.1153
2025-04-29 01:48:49 - INFO - Epoch 24/1000, Loss: 0.2705, Dice: 0.2384, MSE: 0.1072
2025-04-29 01:49:18 - INFO - Epoch 25/1000, Loss: 0.2629, Dice: 0.2292, MSE: 0.1121
2025-04-29 01:49:46 - INFO - Epoch 26/1000, Loss: 0.2597, Dice: 0.2276, MSE: 0.1070
2025-04-29 01:50:15 - INFO - Epoch 27/1000, Loss: 0.2365, Dice: 0.2018, MSE: 0.1157
2025-04-29 01:50:43 - INFO - Epoch 28/1000, Loss: 0.2508, Dice: 0.2159, MSE: 0.1161
2025-04-29 01:51:12 - INFO - Epoch 29/1000, Loss: 0.2666, Dice: 0.2360, MSE: 0.1019
