2025-05-05 00:05:02 - INFO - Logging is set up.
2025-05-05 00:05:02 - INFO - 训练配置参数:
{'seed': 42, 'epochs': 1000, 'batch_size': 5, 'num_classes': 2, 'learning_rate': 0.001, 'dataset_path': './datasets/LA', 'log_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_NetworkV6/Training.log', 'pth_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_NetworkV6/Pth', 'tensorboard_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_NetworkV6/Train', 'continue_train': False, 'multi_gpu': True, 'training_label_num': 16, 'training_unlabel_num': 64, 'label_bs': 1, 'unlabel_bs': 4, 'consistency_weight': 0.3, 'pretrained_weights': None}
2025-05-05 00:05:04 - INFO - 使用 2 个GPU
2025-05-05 00:05:04 - INFO - 模型总参数: 115,813,347
2025-05-05 00:05:04 - INFO - 可训练参数: 115,813,347
2025-05-05 00:05:44 - INFO - Epoch 1/1000, Loss: 0.9959, Dice: 0.9861, MSE: 0.0327
2025-05-05 00:06:19 - INFO - Epoch 2/1000, Loss: 0.8236, Dice: 0.8168, MSE: 0.0226
2025-05-05 00:06:54 - INFO - Epoch 3/1000, Loss: 0.7768, Dice: 0.7704, MSE: 0.0211
2025-05-05 00:07:29 - INFO - Epoch 4/1000, Loss: 0.7158, Dice: 0.7089, MSE: 0.0228
2025-05-05 00:08:03 - INFO - Epoch 5/1000, Loss: 0.7133, Dice: 0.7053, MSE: 0.0269
2025-05-05 00:08:38 - INFO - Epoch 6/1000, Loss: 0.6882, Dice: 0.6792, MSE: 0.0301
2025-05-05 00:09:13 - INFO - Epoch 7/1000, Loss: 0.6813, Dice: 0.6721, MSE: 0.0306
2025-05-05 00:09:48 - INFO - Epoch 8/1000, Loss: 0.7343, Dice: 0.7251, MSE: 0.0305
2025-05-05 00:10:23 - INFO - Epoch 9/1000, Loss: 0.6445, Dice: 0.6346, MSE: 0.0333
2025-05-05 00:10:58 - INFO - Epoch 10/1000, Loss: 0.6474, Dice: 0.6365, MSE: 0.0364
2025-05-05 00:11:33 - INFO - Epoch 11/1000, Loss: 0.6160, Dice: 0.6040, MSE: 0.0399
2025-05-05 00:12:07 - INFO - Epoch 12/1000, Loss: 0.5738, Dice: 0.5624, MSE: 0.0380
2025-05-05 00:12:42 - INFO - Epoch 13/1000, Loss: 0.5714, Dice: 0.5603, MSE: 0.0370
2025-05-05 00:13:17 - INFO - Epoch 14/1000, Loss: 0.5375, Dice: 0.5263, MSE: 0.0375
2025-05-05 00:13:51 - INFO - Epoch 15/1000, Loss: 0.6106, Dice: 0.5984, MSE: 0.0404
2025-05-05 00:14:26 - INFO - Epoch 16/1000, Loss: 0.5898, Dice: 0.5771, MSE: 0.0426
2025-05-05 00:15:01 - INFO - Epoch 17/1000, Loss: 0.5369, Dice: 0.5230, MSE: 0.0465
2025-05-05 00:15:35 - INFO - Epoch 18/1000, Loss: 0.5281, Dice: 0.5146, MSE: 0.0452
2025-05-05 00:16:10 - INFO - Epoch 19/1000, Loss: 0.5361, Dice: 0.5218, MSE: 0.0479
2025-05-05 00:16:45 - INFO - Epoch 20/1000, Loss: 0.5377, Dice: 0.5239, MSE: 0.0463
2025-05-05 00:16:47 - INFO - 模型已保存至: epoch_20.pth
2025-05-05 00:17:21 - INFO - Epoch 21/1000, Loss: 0.4948, Dice: 0.4800, MSE: 0.0494
2025-05-05 00:17:56 - INFO - Epoch 22/1000, Loss: 0.4925, Dice: 0.4771, MSE: 0.0515
2025-05-05 00:18:31 - INFO - Epoch 23/1000, Loss: 0.4767, Dice: 0.4595, MSE: 0.0572
2025-05-05 00:19:05 - INFO - Epoch 24/1000, Loss: 0.4611, Dice: 0.4446, MSE: 0.0551
2025-05-05 00:19:40 - INFO - Epoch 25/1000, Loss: 0.4777, Dice: 0.4590, MSE: 0.0626
2025-05-05 00:20:14 - INFO - Epoch 26/1000, Loss: 0.4428, Dice: 0.4257, MSE: 0.0571
2025-05-05 00:20:49 - INFO - Epoch 27/1000, Loss: 0.4499, Dice: 0.4319, MSE: 0.0599
2025-05-05 00:21:24 - INFO - Epoch 28/1000, Loss: 0.4122, Dice: 0.3930, MSE: 0.0640
2025-05-05 00:21:59 - INFO - Epoch 29/1000, Loss: 0.4663, Dice: 0.4328, MSE: 0.1116
2025-05-05 00:22:34 - INFO - Epoch 30/1000, Loss: 0.4538, Dice: 0.4310, MSE: 0.0761
2025-05-05 00:23:08 - INFO - Epoch 31/1000, Loss: 0.4528, Dice: 0.4349, MSE: 0.0597
2025-05-05 00:23:43 - INFO - Epoch 32/1000, Loss: 0.4016, Dice: 0.3813, MSE: 0.0677
2025-05-05 00:24:18 - INFO - Epoch 33/1000, Loss: 0.4322, Dice: 0.4117, MSE: 0.0683
2025-05-05 00:24:53 - INFO - Epoch 34/1000, Loss: 0.4233, Dice: 0.4052, MSE: 0.0604
2025-05-05 00:25:28 - INFO - Epoch 35/1000, Loss: 0.3717, Dice: 0.3555, MSE: 0.0538
2025-05-05 00:26:02 - INFO - Epoch 36/1000, Loss: 0.4559, Dice: 0.4370, MSE: 0.0628
2025-05-05 00:26:37 - INFO - Epoch 37/1000, Loss: 0.4227, Dice: 0.4041, MSE: 0.0620
2025-05-05 00:27:12 - INFO - Epoch 38/1000, Loss: 0.3983, Dice: 0.3802, MSE: 0.0604
2025-05-05 00:27:46 - INFO - Epoch 39/1000, Loss: 0.3480, Dice: 0.3260, MSE: 0.0734
2025-05-05 00:28:21 - INFO - Epoch 40/1000, Loss: 0.3618, Dice: 0.3412, MSE: 0.0688
2025-05-05 00:28:23 - INFO - 模型已保存至: epoch_40.pth
2025-05-05 00:28:58 - INFO - Epoch 41/1000, Loss: 0.3904, Dice: 0.3693, MSE: 0.0703
2025-05-05 00:29:32 - INFO - Epoch 42/1000, Loss: 0.3939, Dice: 0.3734, MSE: 0.0684
2025-05-05 00:30:07 - INFO - Epoch 43/1000, Loss: 0.3589, Dice: 0.3378, MSE: 0.0706
2025-05-05 00:30:42 - INFO - Epoch 44/1000, Loss: 0.3577, Dice: 0.3295, MSE: 0.0938
2025-05-05 00:31:16 - INFO - Epoch 45/1000, Loss: 0.3550, Dice: 0.3245, MSE: 0.1016
2025-05-05 00:31:51 - INFO - Epoch 46/1000, Loss: 0.3513, Dice: 0.3169, MSE: 0.1146
2025-05-05 00:32:26 - INFO - Epoch 47/1000, Loss: 0.3519, Dice: 0.3186, MSE: 0.1112
2025-05-05 00:33:00 - INFO - Epoch 48/1000, Loss: 0.3195, Dice: 0.2850, MSE: 0.1150
2025-05-05 00:33:35 - INFO - Epoch 49/1000, Loss: 0.3608, Dice: 0.3217, MSE: 0.1301
2025-05-05 00:34:09 - INFO - Epoch 50/1000, Loss: 0.3588, Dice: 0.3267, MSE: 0.1071
2025-05-05 00:34:43 - INFO - Epoch 51/1000, Loss: 0.3267, Dice: 0.2930, MSE: 0.1121
2025-05-05 00:35:18 - INFO - Epoch 52/1000, Loss: 0.3241, Dice: 0.2817, MSE: 0.1414
2025-05-05 00:35:52 - INFO - Epoch 53/1000, Loss: 0.3190, Dice: 0.2848, MSE: 0.1140
2025-05-05 00:36:26 - INFO - Epoch 54/1000, Loss: 0.3046, Dice: 0.2697, MSE: 0.1165
2025-05-05 00:37:01 - INFO - Epoch 55/1000, Loss: 0.3237, Dice: 0.2842, MSE: 0.1317
2025-05-05 00:37:35 - INFO - Epoch 56/1000, Loss: 0.2989, Dice: 0.2574, MSE: 0.1383
2025-05-05 00:38:09 - INFO - Epoch 57/1000, Loss: 0.3149, Dice: 0.2761, MSE: 0.1292
2025-05-05 00:38:44 - INFO - Epoch 58/1000, Loss: 0.3741, Dice: 0.3360, MSE: 0.1268
2025-05-05 00:39:18 - INFO - Epoch 59/1000, Loss: 0.3393, Dice: 0.3002, MSE: 0.1301
2025-05-05 00:39:52 - INFO - Epoch 60/1000, Loss: 0.2836, Dice: 0.2478, MSE: 0.1196
2025-05-05 00:39:54 - INFO - 模型已保存至: epoch_60.pth
2025-05-05 00:40:28 - INFO - Epoch 61/1000, Loss: 0.3186, Dice: 0.2841, MSE: 0.1150
2025-05-05 00:41:02 - INFO - Epoch 62/1000, Loss: 0.4360, Dice: 0.4045, MSE: 0.1051
2025-05-05 00:41:37 - INFO - Epoch 63/1000, Loss: 0.3285, Dice: 0.2922, MSE: 0.1210
2025-05-05 00:42:11 - INFO - Epoch 64/1000, Loss: 0.2732, Dice: 0.2380, MSE: 0.1172
2025-05-05 00:42:46 - INFO - Epoch 65/1000, Loss: 0.2982, Dice: 0.2638, MSE: 0.1147
2025-05-05 00:43:20 - INFO - Epoch 66/1000, Loss: 0.3047, Dice: 0.2685, MSE: 0.1206
2025-05-05 00:43:54 - INFO - Epoch 67/1000, Loss: 0.2807, Dice: 0.2490, MSE: 0.1057
2025-05-05 00:44:29 - INFO - Epoch 68/1000, Loss: 0.3037, Dice: 0.2664, MSE: 0.1245
2025-05-05 00:45:03 - INFO - Epoch 69/1000, Loss: 0.2798, Dice: 0.2447, MSE: 0.1170
2025-05-05 00:45:38 - INFO - Epoch 70/1000, Loss: 0.2395, Dice: 0.2022, MSE: 0.1243
2025-05-05 00:46:12 - INFO - Epoch 71/1000, Loss: 0.2366, Dice: 0.2013, MSE: 0.1177
2025-05-05 00:46:46 - INFO - Epoch 72/1000, Loss: 0.2612, Dice: 0.2206, MSE: 0.1352
2025-05-05 00:47:20 - INFO - Epoch 73/1000, Loss: 0.2621, Dice: 0.2235, MSE: 0.1288
2025-05-05 00:47:55 - INFO - Epoch 74/1000, Loss: 0.2677, Dice: 0.2265, MSE: 0.1373
2025-05-05 00:48:29 - INFO - Epoch 75/1000, Loss: 0.2721, Dice: 0.2386, MSE: 0.1117
2025-05-05 00:49:04 - INFO - Epoch 76/1000, Loss: 0.2893, Dice: 0.2536, MSE: 0.1189
2025-05-05 00:49:38 - INFO - Epoch 77/1000, Loss: 0.3018, Dice: 0.2673, MSE: 0.1148
2025-05-05 00:50:13 - INFO - Epoch 78/1000, Loss: 0.2834, Dice: 0.2446, MSE: 0.1294
2025-05-05 00:50:48 - INFO - Epoch 79/1000, Loss: 0.2852, Dice: 0.2474, MSE: 0.1258
2025-05-05 00:51:22 - INFO - Epoch 80/1000, Loss: 0.2633, Dice: 0.2271, MSE: 0.1208
2025-05-05 00:51:24 - INFO - 模型已保存至: epoch_80.pth
2025-05-05 00:51:58 - INFO - Epoch 81/1000, Loss: 0.2631, Dice: 0.2265, MSE: 0.1219
2025-05-05 00:52:33 - INFO - Epoch 82/1000, Loss: 0.2343, Dice: 0.1965, MSE: 0.1258
2025-05-05 00:53:07 - INFO - Epoch 83/1000, Loss: 0.2668, Dice: 0.2292, MSE: 0.1252
2025-05-05 00:53:41 - INFO - Epoch 84/1000, Loss: 0.2616, Dice: 0.2182, MSE: 0.1444
2025-05-05 00:54:15 - INFO - Epoch 85/1000, Loss: 0.2478, Dice: 0.2081, MSE: 0.1324
2025-05-05 00:54:50 - INFO - Epoch 86/1000, Loss: 0.2373, Dice: 0.2016, MSE: 0.1192
2025-05-05 00:55:24 - INFO - Epoch 87/1000, Loss: 0.3193, Dice: 0.2774, MSE: 0.1397
2025-05-05 00:55:59 - INFO - Epoch 88/1000, Loss: 0.2688, Dice: 0.2299, MSE: 0.1297
2025-05-05 00:56:33 - INFO - Epoch 89/1000, Loss: 0.2409, Dice: 0.2043, MSE: 0.1220
2025-05-05 00:57:08 - INFO - Epoch 90/1000, Loss: 0.2255, Dice: 0.1891, MSE: 0.1212
2025-05-05 00:57:42 - INFO - Epoch 91/1000, Loss: 0.2095, Dice: 0.1716, MSE: 0.1262
2025-05-05 00:58:17 - INFO - Epoch 92/1000, Loss: 0.2399, Dice: 0.1991, MSE: 0.1363
2025-05-05 00:58:51 - INFO - Epoch 93/1000, Loss: 0.3129, Dice: 0.2730, MSE: 0.1332
2025-05-05 00:59:26 - INFO - Epoch 94/1000, Loss: 0.2776, Dice: 0.2394, MSE: 0.1274
2025-05-05 01:00:00 - INFO - Epoch 95/1000, Loss: 0.2414, Dice: 0.2007, MSE: 0.1356
2025-05-05 01:00:34 - INFO - Epoch 96/1000, Loss: 0.2440, Dice: 0.2002, MSE: 0.1459
2025-05-05 01:01:09 - INFO - Epoch 97/1000, Loss: 0.2214, Dice: 0.1764, MSE: 0.1501
2025-05-05 01:01:44 - INFO - Epoch 98/1000, Loss: 0.2139, Dice: 0.1767, MSE: 0.1241
2025-05-05 01:02:18 - INFO - Epoch 99/1000, Loss: 0.2514, Dice: 0.2139, MSE: 0.1249
2025-05-05 01:02:52 - INFO - Epoch 100/1000, Loss: 0.2231, Dice: 0.1853, MSE: 0.1258
2025-05-05 01:02:54 - INFO - 模型已保存至: epoch_100.pth
2025-05-05 01:03:28 - INFO - Epoch 101/1000, Loss: 0.1994, Dice: 0.1594, MSE: 0.1333
2025-05-05 01:04:02 - INFO - Epoch 102/1000, Loss: 0.2296, Dice: 0.1928, MSE: 0.1226
2025-05-05 01:04:36 - INFO - Epoch 103/1000, Loss: 0.2511, Dice: 0.2139, MSE: 0.1242
2025-05-05 01:05:11 - INFO - Epoch 104/1000, Loss: 0.2355, Dice: 0.1971, MSE: 0.1278
2025-05-05 01:05:45 - INFO - Epoch 105/1000, Loss: 0.2024, Dice: 0.1592, MSE: 0.1441
2025-05-05 01:06:20 - INFO - Epoch 106/1000, Loss: 0.2070, Dice: 0.1634, MSE: 0.1453
2025-05-05 01:06:54 - INFO - Epoch 107/1000, Loss: 0.2264, Dice: 0.1832, MSE: 0.1440
2025-05-05 01:07:29 - INFO - Epoch 108/1000, Loss: 0.2430, Dice: 0.2030, MSE: 0.1336
