2025-04-29 20:53:14 - INFO - Logging is set up.
2025-04-29 20:53:14 - INFO - 训练配置参数:
{'seed': 42, 'epochs': 1000, 'batch_size': 5, 'num_classes': 2, 'learning_rate': 0.001, 'dataset_path': './datasets/LA', 'log_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_PretrainNone/Training.log', 'pth_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_PretrainNone/Pth', 'tensorboard_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_PretrainNone/Train', 'continue_train': False, 'multi_gpu': True, 'training_label_num': 16, 'training_unlabel_num': 64, 'label_bs': 1, 'unlabel_bs': 4, 'consistency_weight': 0.3, 'pretrained_weights': None}
2025-04-29 20:53:16 - INFO - 使用 2 个GPU
2025-04-29 20:53:16 - INFO - 模型总参数: 115,813,347
2025-04-29 20:53:16 - INFO - 可训练参数: 115,813,347
2025-04-29 20:53:50 - INFO - Epoch 1/1000, Loss: 0.4898, Dice: 0.4811, MSE: 0.0289
2025-04-29 20:54:21 - INFO - Epoch 2/1000, Loss: 0.4703, Dice: 0.4620, MSE: 0.0277
2025-04-29 20:54:52 - INFO - Epoch 3/1000, Loss: 0.4540, Dice: 0.4464, MSE: 0.0253
2025-04-29 20:55:22 - INFO - Epoch 4/1000, Loss: 0.3940, Dice: 0.3863, MSE: 0.0255
2025-04-29 20:55:54 - INFO - Epoch 5/1000, Loss: 0.3965, Dice: 0.3863, MSE: 0.0338
2025-04-29 20:56:24 - INFO - Epoch 6/1000, Loss: 0.3453, Dice: 0.3347, MSE: 0.0353
2025-04-29 20:56:55 - INFO - Epoch 7/1000, Loss: 0.3182, Dice: 0.3056, MSE: 0.0420
2025-04-29 20:57:26 - INFO - Epoch 8/1000, Loss: 0.2859, Dice: 0.2705, MSE: 0.0513
2025-04-29 20:57:57 - INFO - Epoch 9/1000, Loss: 0.3116, Dice: 0.2941, MSE: 0.0585
2025-04-29 20:58:28 - INFO - Epoch 10/1000, Loss: 0.2989, Dice: 0.2827, MSE: 0.0537
2025-04-29 20:58:58 - INFO - Epoch 11/1000, Loss: 0.2644, Dice: 0.2483, MSE: 0.0536
2025-04-29 20:59:26 - INFO - Epoch 12/1000, Loss: 0.2520, Dice: 0.2327, MSE: 0.0642
2025-04-29 20:59:55 - INFO - Epoch 13/1000, Loss: 0.2486, Dice: 0.2303, MSE: 0.0609
2025-04-29 21:00:23 - INFO - Epoch 14/1000, Loss: 0.2613, Dice: 0.2422, MSE: 0.0638
2025-04-29 21:00:52 - INFO - Epoch 15/1000, Loss: 0.2224, Dice: 0.2048, MSE: 0.0584
2025-04-29 21:01:21 - INFO - Epoch 16/1000, Loss: 0.2177, Dice: 0.1974, MSE: 0.0677
2025-04-29 21:01:52 - INFO - Epoch 17/1000, Loss: 0.2177, Dice: 0.1978, MSE: 0.0665
2025-04-29 21:02:23 - INFO - Epoch 18/1000, Loss: 0.2425, Dice: 0.2257, MSE: 0.0560
2025-04-29 21:02:54 - INFO - Epoch 19/1000, Loss: 0.2021, Dice: 0.1803, MSE: 0.0726
2025-04-29 21:03:26 - INFO - Epoch 20/1000, Loss: 0.2142, Dice: 0.1935, MSE: 0.0691
2025-04-29 21:03:28 - INFO - 模型已保存至: epoch_20.pth
2025-04-29 21:03:59 - INFO - Epoch 21/1000, Loss: 0.1935, Dice: 0.1738, MSE: 0.0655
2025-04-29 21:04:30 - INFO - Epoch 22/1000, Loss: 0.2347, Dice: 0.2131, MSE: 0.0718
2025-04-29 21:05:01 - INFO - Epoch 23/1000, Loss: 0.1983, Dice: 0.1775, MSE: 0.0693
2025-04-29 21:05:32 - INFO - Epoch 24/1000, Loss: 0.2495, Dice: 0.2249, MSE: 0.0818
2025-04-29 21:06:03 - INFO - Epoch 25/1000, Loss: 0.2049, Dice: 0.1741, MSE: 0.1027
