2025-05-23 17:56:01 - INFO - Logging is set up.
2025-05-23 17:56:01 - INFO - 训练配置参数:
{'seed': 42, 'epochs': 1000, 'batch_size': 5, 'num_classes': 2, 'learning_rate': 0.001, 'dataset_path': './datasets/LA', 'log_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_V13/Training.log', 'pth_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_V13/Pth', 'tensorboard_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_V13/Train', 'continue_train': False, 'multi_gpu': True, 'training_label_num': 16, 'training_unlabel_num': 64, 'label_bs': 1, 'unlabel_bs': 4, 'consistency_weight': 0.3, 'pretrained_weights': None}
2025-05-23 17:56:02 - INFO - 使用 2 个GPU
2025-05-23 17:56:02 - INFO - 模型总参数: 81,775,587
2025-05-23 17:56:02 - INFO - 可训练参数: 81,775,587
2025-05-23 17:56:24 - INFO - Epoch 1/1000, Loss: 0.9887, Dice: 0.9796, MSE: 0.0304
2025-05-23 17:56:44 - INFO - Epoch 2/1000, Loss: 0.9010, Dice: 0.8955, MSE: 0.0184
2025-05-23 17:57:03 - INFO - Epoch 3/1000, Loss: 0.7879, Dice: 0.7789, MSE: 0.0300
2025-05-23 17:57:22 - INFO - Epoch 4/1000, Loss: 0.8314, Dice: 0.8214, MSE: 0.0334
2025-05-23 17:57:42 - INFO - Epoch 5/1000, Loss: 0.7155, Dice: 0.7047, MSE: 0.0359
2025-05-23 17:58:01 - INFO - Epoch 6/1000, Loss: 0.6781, Dice: 0.6686, MSE: 0.0317
2025-05-23 17:58:20 - INFO - Epoch 7/1000, Loss: 0.6110, Dice: 0.5983, MSE: 0.0424
2025-05-23 17:58:40 - INFO - Epoch 8/1000, Loss: 0.5406, Dice: 0.5284, MSE: 0.0405
2025-05-23 17:58:59 - INFO - Epoch 9/1000, Loss: 0.6083, Dice: 0.5944, MSE: 0.0465
2025-05-23 17:59:18 - INFO - Epoch 10/1000, Loss: 0.5837, Dice: 0.5695, MSE: 0.0475
2025-05-23 17:59:37 - INFO - Epoch 11/1000, Loss: 0.5969, Dice: 0.5841, MSE: 0.0427
2025-05-23 17:59:56 - INFO - Epoch 12/1000, Loss: 0.5568, Dice: 0.5444, MSE: 0.0414
2025-05-23 18:00:15 - INFO - Epoch 13/1000, Loss: 0.5123, Dice: 0.4955, MSE: 0.0561
2025-05-23 18:00:34 - INFO - Epoch 14/1000, Loss: 0.5082, Dice: 0.4910, MSE: 0.0574
2025-05-23 18:00:54 - INFO - Epoch 15/1000, Loss: 0.5639, Dice: 0.5518, MSE: 0.0403
2025-05-23 18:01:12 - INFO - Epoch 16/1000, Loss: 0.5544, Dice: 0.5411, MSE: 0.0444
2025-05-23 18:01:32 - INFO - Epoch 17/1000, Loss: 0.4970, Dice: 0.4815, MSE: 0.0515
2025-05-23 18:01:51 - INFO - Epoch 18/1000, Loss: 0.5205, Dice: 0.5046, MSE: 0.0532
2025-05-23 18:02:10 - INFO - Epoch 19/1000, Loss: 0.5380, Dice: 0.5239, MSE: 0.0472
2025-05-23 18:02:29 - INFO - Epoch 20/1000, Loss: 0.5304, Dice: 0.5158, MSE: 0.0484
2025-05-23 18:02:30 - INFO - 模型已保存至: epoch_20.pth
2025-05-23 18:02:49 - INFO - Epoch 21/1000, Loss: 0.5017, Dice: 0.4844, MSE: 0.0576
2025-05-23 18:03:08 - INFO - Epoch 22/1000, Loss: 0.5225, Dice: 0.5056, MSE: 0.0562
2025-05-23 18:03:27 - INFO - Epoch 23/1000, Loss: 0.4945, Dice: 0.4810, MSE: 0.0450
2025-05-23 18:03:46 - INFO - Epoch 24/1000, Loss: 0.5077, Dice: 0.4966, MSE: 0.0371
2025-05-23 18:04:05 - INFO - Epoch 25/1000, Loss: 0.4272, Dice: 0.4145, MSE: 0.0425
2025-05-23 18:04:24 - INFO - Epoch 26/1000, Loss: 0.4922, Dice: 0.4793, MSE: 0.0428
2025-05-23 18:04:43 - INFO - Epoch 27/1000, Loss: 0.4425, Dice: 0.4284, MSE: 0.0469
2025-05-23 18:05:02 - INFO - Epoch 28/1000, Loss: 0.4815, Dice: 0.4680, MSE: 0.0449
2025-05-23 18:05:21 - INFO - Epoch 29/1000, Loss: 0.4534, Dice: 0.4408, MSE: 0.0423
2025-05-23 18:05:41 - INFO - Epoch 30/1000, Loss: 0.4327, Dice: 0.4202, MSE: 0.0417
2025-05-23 18:06:00 - INFO - Epoch 31/1000, Loss: 0.4228, Dice: 0.4087, MSE: 0.0472
2025-05-23 18:06:19 - INFO - Epoch 32/1000, Loss: 0.4140, Dice: 0.3980, MSE: 0.0534
2025-05-23 18:06:38 - INFO - Epoch 33/1000, Loss: 0.3895, Dice: 0.3739, MSE: 0.0520
2025-05-23 18:06:57 - INFO - Epoch 34/1000, Loss: 0.4651, Dice: 0.4502, MSE: 0.0496
2025-05-23 18:07:16 - INFO - Epoch 35/1000, Loss: 0.4330, Dice: 0.4159, MSE: 0.0572
