2025-06-23 00:24:54 - INFO - Logging is set up.
2025-06-23 00:24:54 - INFO - 训练配置参数:
{'seed': 42, 'epochs': 1000, 'batch_size': 2, 'num_classes': 2, 'learning_rate': 0.001, 'dataset_path': './datasets/LA', 'log_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_V14_2_2/Training.log', 'pth_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_V14_2_2/Pth', 'tensorboard_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_V14_2_2/Train', 'continue_train': False, 'multi_gpu': False, 'training_label_num': 16, 'training_unlabel_num': 64, 'label_bs': 1, 'unlabel_bs': 1, 'consistency_weight': 0.3, 'pretrained_weights': None}
2025-06-23 00:24:54 - INFO - 模型总参数: 88,863,607
2025-06-23 00:24:54 - INFO - 可训练参数: 88,863,607
2025-06-23 00:25:10 - INFO - Epoch 1/1000, Loss: 0.9202, Dice: 0.9073, MSE: 0.0429
2025-06-23 00:25:24 - INFO - Epoch 2/1000, Loss: 0.8130, Dice: 0.8000, MSE: 0.0433
2025-06-23 00:25:39 - INFO - Epoch 3/1000, Loss: 0.7399, Dice: 0.7275, MSE: 0.0413
2025-06-23 00:25:54 - INFO - Epoch 4/1000, Loss: 0.7305, Dice: 0.7159, MSE: 0.0488
2025-06-23 00:26:09 - INFO - Epoch 5/1000, Loss: 0.6219, Dice: 0.6061, MSE: 0.0524
2025-06-23 00:26:24 - INFO - Epoch 6/1000, Loss: 0.5956, Dice: 0.5804, MSE: 0.0505
2025-06-23 00:26:38 - INFO - Epoch 7/1000, Loss: 0.5727, Dice: 0.5542, MSE: 0.0614
2025-06-23 00:26:53 - INFO - Epoch 8/1000, Loss: 0.5201, Dice: 0.5028, MSE: 0.0575
2025-06-23 00:27:08 - INFO - Epoch 9/1000, Loss: 0.5518, Dice: 0.5345, MSE: 0.0577
2025-06-23 00:27:23 - INFO - Epoch 10/1000, Loss: 0.4912, Dice: 0.4745, MSE: 0.0559
2025-06-23 00:27:38 - INFO - Epoch 11/1000, Loss: 0.4869, Dice: 0.4710, MSE: 0.0528
2025-06-23 00:27:53 - INFO - Epoch 12/1000, Loss: 0.5020, Dice: 0.4840, MSE: 0.0600
2025-06-23 00:28:07 - INFO - Epoch 13/1000, Loss: 0.5358, Dice: 0.5193, MSE: 0.0549
2025-06-23 00:28:22 - INFO - Epoch 14/1000, Loss: 0.4534, Dice: 0.4326, MSE: 0.0693
2025-06-23 00:28:37 - INFO - Epoch 15/1000, Loss: 0.4148, Dice: 0.3925, MSE: 0.0743
2025-06-23 00:28:52 - INFO - Epoch 16/1000, Loss: 0.3852, Dice: 0.3637, MSE: 0.0717
2025-06-23 00:29:07 - INFO - Epoch 17/1000, Loss: 0.3934, Dice: 0.3714, MSE: 0.0733
2025-06-23 00:29:22 - INFO - Epoch 18/1000, Loss: 0.3630, Dice: 0.3411, MSE: 0.0730
2025-06-23 00:29:36 - INFO - Epoch 19/1000, Loss: 0.3354, Dice: 0.3121, MSE: 0.0777
2025-06-23 00:29:51 - INFO - Epoch 20/1000, Loss: 0.3563, Dice: 0.3309, MSE: 0.0846
2025-06-23 00:29:52 - INFO - 模型已保存至: epoch_20.pth
2025-06-23 00:30:07 - INFO - Epoch 21/1000, Loss: 0.4037, Dice: 0.3777, MSE: 0.0865
