2025-07-16 01:49:05 - INFO - Logging is set up.
2025-07-16 01:49:05 - INFO - 训练配置参数:
{'seed': 42, 'epochs': 1000, 'batch_size': 4, 'num_classes': 2, 'learning_rate': 0.001, 'dataset_path': './datasets/LA', 'log_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_V15_2/Training.log', 'pth_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_V15_2/Pth', 'tensorboard_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_V15_2/Train', 'continue_train': False, 'multi_gpu': True, 'training_label_num': 16, 'training_unlabel_num': 64, 'label_bs': 1, 'unlabel_bs': 3, 'consistency_weight': 0.2, 'pretrained_weights': './result/VNet_Multi_V5/LA_16/Pth/Best.pth'}
2025-07-16 01:49:06 - INFO - 使用 2 个GPU
2025-07-16 01:49:06 - INFO - 模型总参数: 106,282,084
2025-07-16 01:49:06 - INFO - 可训练参数: 106,282,084
2025-07-16 01:49:27 - INFO - Epoch 1/1000, Loss: 0.8900, Dice: 0.8803, MSE: 0.0485
2025-07-16 01:49:42 - INFO - Epoch 2/1000, Loss: 0.7319, Dice: 0.7241, MSE: 0.0389
2025-07-16 01:49:57 - INFO - Epoch 3/1000, Loss: 0.6860, Dice: 0.6782, MSE: 0.0393
2025-07-16 01:50:11 - INFO - Epoch 4/1000, Loss: 0.6367, Dice: 0.6289, MSE: 0.0387
2025-07-16 01:50:26 - INFO - Epoch 5/1000, Loss: 0.6271, Dice: 0.6192, MSE: 0.0395
2025-07-16 01:50:41 - INFO - Epoch 6/1000, Loss: 0.6190, Dice: 0.6107, MSE: 0.0416
2025-07-16 01:50:55 - INFO - Epoch 7/1000, Loss: 0.5885, Dice: 0.5804, MSE: 0.0406
2025-07-16 01:51:10 - INFO - Epoch 8/1000, Loss: 0.5320, Dice: 0.5224, MSE: 0.0479
2025-07-16 01:51:37 - INFO - Epoch 9/1000, Loss: 0.5521, Dice: 0.5428, MSE: 0.0465
2025-07-16 01:52:06 - INFO - Epoch 10/1000, Loss: 0.5968, Dice: 0.5861, MSE: 0.0536
2025-07-16 01:52:36 - INFO - Epoch 11/1000, Loss: 0.5925, Dice: 0.5837, MSE: 0.0442
2025-07-16 01:53:05 - INFO - Epoch 12/1000, Loss: 0.5856, Dice: 0.5774, MSE: 0.0411
2025-07-16 01:53:34 - INFO - Epoch 13/1000, Loss: 0.5212, Dice: 0.5123, MSE: 0.0445
2025-07-16 01:54:04 - INFO - Epoch 14/1000, Loss: 0.5012, Dice: 0.4921, MSE: 0.0453
2025-07-16 01:54:33 - INFO - Epoch 15/1000, Loss: 0.4789, Dice: 0.4691, MSE: 0.0492
2025-07-16 01:55:01 - INFO - Epoch 16/1000, Loss: 0.5009, Dice: 0.4908, MSE: 0.0509
2025-07-16 01:55:31 - INFO - Epoch 17/1000, Loss: 0.5452, Dice: 0.5359, MSE: 0.0462
2025-07-16 01:56:01 - INFO - Epoch 18/1000, Loss: 0.4839, Dice: 0.4736, MSE: 0.0516
2025-07-16 01:56:30 - INFO - Epoch 19/1000, Loss: 0.4779, Dice: 0.4682, MSE: 0.0489
2025-07-16 01:56:59 - INFO - Epoch 20/1000, Loss: 0.4406, Dice: 0.4304, MSE: 0.0510
2025-07-16 01:57:01 - INFO - 模型已保存至: epoch_20.pth
2025-07-16 01:57:31 - INFO - Epoch 21/1000, Loss: 0.4968, Dice: 0.4862, MSE: 0.0531
2025-07-16 01:58:01 - INFO - Epoch 22/1000, Loss: 0.4848, Dice: 0.4745, MSE: 0.0515
2025-07-16 01:58:28 - INFO - Epoch 23/1000, Loss: 0.4005, Dice: 0.3898, MSE: 0.0536
2025-07-16 01:58:58 - INFO - Epoch 24/1000, Loss: 0.4047, Dice: 0.3948, MSE: 0.0498
2025-07-16 01:59:27 - INFO - Epoch 25/1000, Loss: 0.4499, Dice: 0.4401, MSE: 0.0493
2025-07-16 01:59:57 - INFO - Epoch 26/1000, Loss: 0.4155, Dice: 0.4050, MSE: 0.0524
2025-07-16 02:00:27 - INFO - Epoch 27/1000, Loss: 0.3865, Dice: 0.3750, MSE: 0.0578
2025-07-16 02:00:57 - INFO - Epoch 28/1000, Loss: 0.3597, Dice: 0.3478, MSE: 0.0595
2025-07-16 02:01:26 - INFO - Epoch 29/1000, Loss: 0.3580, Dice: 0.3473, MSE: 0.0535
2025-07-16 02:01:54 - INFO - Epoch 30/1000, Loss: 0.3716, Dice: 0.3608, MSE: 0.0541
2025-07-16 02:02:23 - INFO - Epoch 31/1000, Loss: 0.3863, Dice: 0.3751, MSE: 0.0558
