2025-04-14 10:53:27 - INFO - Logging is set up.
2025-04-14 10:53:27 - INFO - 训练配置参数:
{'seed': 42, 'epochs': 400, 'batch_size': 10, 'num_classes': 4, 'learning_rate': 0.001, 'dataset_path': './datasets/LA', 'log_path': './result/UNet/ACDC/Training.log', 'pth_path': './result/UNet/ACDC/Pth', 'tensorboard_path': './result/UNet/ACDC/Train', 'continue_train': False, 'multi_gpu': True, 'training_label_num': 260, 'training_unlabel_num': 1020, 'label_bs': 2, 'unlabel_bs': 8, 'consistency_weight': 0.3, 'pretrained_weights': './result/UNet/ACDC/Pth/pretrain.pth'}
2025-04-14 10:53:27 - INFO - 使用 2 个GPU
2025-04-14 10:53:27 - INFO - 模型总参数: 62,085,128
2025-04-14 10:53:27 - INFO - 可训练参数: 62,085,128
2025-04-14 10:54:08 - INFO - Epoch 1/400, Loss: 0.3778, Dice: 0.3734, MSE: 0.0148
2025-04-14 10:54:48 - INFO - Epoch 2/400, Loss: 0.1532, Dice: 0.1495, MSE: 0.0123
2025-04-14 10:55:29 - INFO - Epoch 3/400, Loss: 0.1135, Dice: 0.1103, MSE: 0.0107
2025-04-14 10:56:09 - INFO - Epoch 4/400, Loss: 0.1112, Dice: 0.1086, MSE: 0.0088
2025-04-14 10:56:50 - INFO - Epoch 5/400, Loss: 0.0822, Dice: 0.0801, MSE: 0.0071
2025-04-14 10:57:31 - INFO - Epoch 6/400, Loss: 0.0752, Dice: 0.0733, MSE: 0.0063
2025-04-14 10:58:11 - INFO - Epoch 7/400, Loss: 0.0760, Dice: 0.0745, MSE: 0.0052
2025-04-14 10:58:52 - INFO - Epoch 8/400, Loss: 0.0774, Dice: 0.0758, MSE: 0.0053
2025-04-14 10:59:33 - INFO - Epoch 9/400, Loss: 0.0758, Dice: 0.0742, MSE: 0.0053
2025-04-14 11:00:14 - INFO - Epoch 10/400, Loss: 0.0674, Dice: 0.0659, MSE: 0.0051
2025-04-14 11:00:14 - INFO - 模型已保存至: epoch_10.pth
2025-04-14 11:00:55 - INFO - Epoch 11/400, Loss: 0.0654, Dice: 0.0640, MSE: 0.0046
2025-04-14 11:01:36 - INFO - Epoch 12/400, Loss: 0.0615, Dice: 0.0601, MSE: 0.0047
2025-04-14 11:02:16 - INFO - Epoch 13/400, Loss: 0.0644, Dice: 0.0631, MSE: 0.0045
2025-04-14 11:02:57 - INFO - Epoch 14/400, Loss: 0.0557, Dice: 0.0544, MSE: 0.0043
2025-04-14 11:03:37 - INFO - Epoch 15/400, Loss: 0.0585, Dice: 0.0572, MSE: 0.0043
2025-04-14 11:04:18 - INFO - Epoch 16/400, Loss: 0.0589, Dice: 0.0578, MSE: 0.0038
2025-04-14 11:04:58 - INFO - Epoch 17/400, Loss: 0.0527, Dice: 0.0516, MSE: 0.0037
2025-04-14 11:05:39 - INFO - Epoch 18/400, Loss: 0.0563, Dice: 0.0554, MSE: 0.0032
2025-04-14 11:06:19 - INFO - Epoch 19/400, Loss: 0.0560, Dice: 0.0550, MSE: 0.0035
2025-04-14 11:07:00 - INFO - Epoch 20/400, Loss: 0.0673, Dice: 0.0662, MSE: 0.0035
2025-04-14 11:07:01 - INFO - 模型已保存至: epoch_20.pth
2025-04-14 11:07:41 - INFO - Epoch 21/400, Loss: 0.0668, Dice: 0.0659, MSE: 0.0031
2025-04-14 11:08:21 - INFO - Epoch 22/400, Loss: 0.0530, Dice: 0.0521, MSE: 0.0031
2025-04-14 11:09:02 - INFO - Epoch 23/400, Loss: 0.0565, Dice: 0.0556, MSE: 0.0029
2025-04-14 11:09:42 - INFO - Epoch 24/400, Loss: 0.0459, Dice: 0.0451, MSE: 0.0026
2025-04-14 11:10:22 - INFO - Epoch 25/400, Loss: 0.0466, Dice: 0.0458, MSE: 0.0026
2025-04-14 11:11:03 - INFO - Epoch 26/400, Loss: 0.0503, Dice: 0.0495, MSE: 0.0026
2025-04-14 11:11:43 - INFO - Epoch 27/400, Loss: 0.0575, Dice: 0.0567, MSE: 0.0028
2025-04-14 11:12:23 - INFO - Epoch 28/400, Loss: 0.0516, Dice: 0.0507, MSE: 0.0030
2025-04-14 11:13:04 - INFO - Epoch 29/400, Loss: 0.0578, Dice: 0.0570, MSE: 0.0029
2025-04-14 11:13:44 - INFO - Epoch 30/400, Loss: 0.0541, Dice: 0.0535, MSE: 0.0021
2025-04-14 11:13:45 - INFO - 模型已保存至: epoch_30.pth
2025-04-14 11:14:25 - INFO - Epoch 31/400, Loss: 0.0557, Dice: 0.0550, MSE: 0.0026
2025-04-14 11:15:05 - INFO - Epoch 32/400, Loss: 0.0611, Dice: 0.0605, MSE: 0.0021
