2025-04-15 00:11:10 - INFO - Logging is set up.
2025-04-15 00:11:10 - INFO - 训练配置参数:
{'seed': 42, 'epochs': 400, 'batch_size': 10, 'num_classes': 4, 'learning_rate': 0.001, 'dataset_path': './datasets/LA', 'log_path': './result/UNet/ACDC_NoPretrain/Training.log', 'pth_path': './result/UNet/ACDC_NoPretrain/Pth', 'tensorboard_path': './result/UNet/ACDC_NoPretrain/Train', 'continue_train': False, 'multi_gpu': True, 'training_label_num': 260, 'training_unlabel_num': 1020, 'label_bs': 2, 'unlabel_bs': 8, 'consistency_weight': 0.3, 'pretrained_weights': None}
2025-04-15 00:11:10 - INFO - 使用 2 个GPU
2025-04-15 00:11:10 - INFO - 模型总参数: 62,085,128
2025-04-15 00:11:10 - INFO - 可训练参数: 62,085,128
2025-04-15 00:11:51 - INFO - Epoch 1/400, Loss: 0.5405, Dice: 0.5381, MSE: 0.0081
2025-04-15 00:12:32 - INFO - Epoch 2/400, Loss: 0.4626, Dice: 0.4617, MSE: 0.0030
2025-04-15 00:13:12 - INFO - Epoch 3/400, Loss: 0.4479, Dice: 0.4468, MSE: 0.0037
2025-04-15 00:13:53 - INFO - Epoch 4/400, Loss: 0.4320, Dice: 0.4304, MSE: 0.0051
2025-04-15 00:14:34 - INFO - Epoch 5/400, Loss: 0.3851, Dice: 0.3825, MSE: 0.0087
2025-04-15 00:15:14 - INFO - Epoch 6/400, Loss: 0.3301, Dice: 0.3280, MSE: 0.0071
2025-04-15 00:15:55 - INFO - Epoch 7/400, Loss: 0.3055, Dice: 0.3033, MSE: 0.0074
2025-04-15 00:16:36 - INFO - Epoch 8/400, Loss: 0.2622, Dice: 0.2599, MSE: 0.0075
2025-04-15 00:17:17 - INFO - Epoch 9/400, Loss: 0.2366, Dice: 0.2349, MSE: 0.0057
2025-04-15 00:17:58 - INFO - Epoch 10/400, Loss: 0.1886, Dice: 0.1867, MSE: 0.0064
2025-04-15 00:17:58 - INFO - 模型已保存至: epoch_10.pth
2025-04-15 00:18:39 - INFO - Epoch 11/400, Loss: 0.1982, Dice: 0.1964, MSE: 0.0061
2025-04-15 00:19:20 - INFO - Epoch 12/400, Loss: 0.1746, Dice: 0.1730, MSE: 0.0050
2025-04-15 00:20:01 - INFO - Epoch 13/400, Loss: 0.1599, Dice: 0.1585, MSE: 0.0044
2025-04-15 00:20:41 - INFO - Epoch 14/400, Loss: 0.1522, Dice: 0.1508, MSE: 0.0048
2025-04-15 00:21:22 - INFO - Epoch 15/400, Loss: 0.1628, Dice: 0.1614, MSE: 0.0045
2025-04-15 00:22:03 - INFO - Epoch 16/400, Loss: 0.1392, Dice: 0.1378, MSE: 0.0044
2025-04-15 00:22:43 - INFO - Epoch 17/400, Loss: 0.1307, Dice: 0.1294, MSE: 0.0043
2025-04-15 00:23:24 - INFO - Epoch 18/400, Loss: 0.1218, Dice: 0.1206, MSE: 0.0039
2025-04-15 00:24:05 - INFO - Epoch 19/400, Loss: 0.1144, Dice: 0.1131, MSE: 0.0042
2025-04-15 00:24:45 - INFO - Epoch 20/400, Loss: 0.1228, Dice: 0.1214, MSE: 0.0047
2025-04-15 00:24:46 - INFO - 模型已保存至: epoch_20.pth
2025-04-15 00:25:26 - INFO - Epoch 21/400, Loss: 0.1109, Dice: 0.1097, MSE: 0.0041
2025-04-15 00:26:07 - INFO - Epoch 22/400, Loss: 0.1149, Dice: 0.1137, MSE: 0.0040
2025-04-15 00:26:47 - INFO - Epoch 23/400, Loss: 0.1087, Dice: 0.1075, MSE: 0.0040
2025-04-15 00:27:28 - INFO - Epoch 24/400, Loss: 0.1020, Dice: 0.1009, MSE: 0.0039
2025-04-15 00:28:09 - INFO - Epoch 25/400, Loss: 0.0947, Dice: 0.0934, MSE: 0.0044
2025-04-15 00:28:49 - INFO - Epoch 26/400, Loss: 0.1001, Dice: 0.0989, MSE: 0.0039
2025-04-15 00:29:29 - INFO - Epoch 27/400, Loss: 0.0983, Dice: 0.0970, MSE: 0.0042
2025-04-15 00:30:10 - INFO - Epoch 28/400, Loss: 0.0923, Dice: 0.0912, MSE: 0.0038
2025-04-15 00:30:50 - INFO - Epoch 29/400, Loss: 0.0883, Dice: 0.0872, MSE: 0.0037
2025-04-15 00:31:31 - INFO - Epoch 30/400, Loss: 0.0902, Dice: 0.0890, MSE: 0.0042
2025-04-15 00:31:32 - INFO - 模型已保存至: epoch_30.pth
2025-04-15 00:32:12 - INFO - Epoch 31/400, Loss: 0.0818, Dice: 0.0807, MSE: 0.0038
2025-04-15 00:32:53 - INFO - Epoch 32/400, Loss: 0.0980, Dice: 0.0968, MSE: 0.0039
2025-04-15 00:33:33 - INFO - Epoch 33/400, Loss: 0.0798, Dice: 0.0788, MSE: 0.0034
2025-04-15 00:34:13 - INFO - Epoch 34/400, Loss: 0.0811, Dice: 0.0800, MSE: 0.0036
2025-04-15 00:34:54 - INFO - Epoch 35/400, Loss: 0.0927, Dice: 0.0915, MSE: 0.0040
2025-04-15 00:35:34 - INFO - Epoch 36/400, Loss: 0.0897, Dice: 0.0886, MSE: 0.0037
2025-04-15 00:36:15 - INFO - Epoch 37/400, Loss: 0.0752, Dice: 0.0742, MSE: 0.0036
2025-04-15 00:36:55 - INFO - Epoch 38/400, Loss: 0.0833, Dice: 0.0822, MSE: 0.0038
2025-04-15 00:37:35 - INFO - Epoch 39/400, Loss: 0.0759, Dice: 0.0749, MSE: 0.0033
2025-04-15 00:38:16 - INFO - Epoch 40/400, Loss: 0.0735, Dice: 0.0725, MSE: 0.0032
2025-04-15 00:38:16 - INFO - 模型已保存至: epoch_40.pth
2025-04-15 00:38:57 - INFO - Epoch 41/400, Loss: 0.0760, Dice: 0.0749, MSE: 0.0034
2025-04-15 00:39:37 - INFO - Epoch 42/400, Loss: 0.0665, Dice: 0.0654, MSE: 0.0036
2025-04-15 00:40:17 - INFO - Epoch 43/400, Loss: 0.0802, Dice: 0.0791, MSE: 0.0036
2025-04-15 00:40:58 - INFO - Epoch 44/400, Loss: 0.0802, Dice: 0.0791, MSE: 0.0036
2025-04-15 00:41:38 - INFO - Epoch 45/400, Loss: 0.0684, Dice: 0.0674, MSE: 0.0033
2025-04-15 00:42:18 - INFO - Epoch 46/400, Loss: 0.0665, Dice: 0.0655, MSE: 0.0032
2025-04-15 00:42:59 - INFO - Epoch 47/400, Loss: 0.0797, Dice: 0.0786, MSE: 0.0034
2025-04-15 00:43:39 - INFO - Epoch 48/400, Loss: 0.0674, Dice: 0.0665, MSE: 0.0029
2025-04-15 00:44:19 - INFO - Epoch 49/400, Loss: 0.0656, Dice: 0.0647, MSE: 0.0028
2025-04-15 00:45:00 - INFO - Epoch 50/400, Loss: 0.0623, Dice: 0.0614, MSE: 0.0030
2025-04-15 00:45:00 - INFO - 模型已保存至: epoch_50.pth
2025-04-15 00:45:41 - INFO - Epoch 51/400, Loss: 0.0637, Dice: 0.0629, MSE: 0.0028
2025-04-15 00:46:21 - INFO - Epoch 52/400, Loss: 0.0654, Dice: 0.0645, MSE: 0.0032
2025-04-15 00:47:01 - INFO - Epoch 53/400, Loss: 0.0758, Dice: 0.0748, MSE: 0.0034
2025-04-15 00:47:42 - INFO - Epoch 54/400, Loss: 0.0698, Dice: 0.0690, MSE: 0.0028
2025-04-15 00:48:22 - INFO - Epoch 55/400, Loss: 0.0751, Dice: 0.0741, MSE: 0.0034
2025-04-15 00:49:02 - INFO - Epoch 56/400, Loss: 0.0687, Dice: 0.0676, MSE: 0.0036
2025-04-15 00:49:42 - INFO - Epoch 57/400, Loss: 0.0575, Dice: 0.0566, MSE: 0.0030
2025-04-15 00:50:22 - INFO - Epoch 58/400, Loss: 0.0625, Dice: 0.0617, MSE: 0.0026
