2025-07-14 00:51:12 - INFO - Logging is set up.
2025-07-14 00:51:12 - INFO - 
======================================== New DDP Training Session Started ========================================
2025-07-14 00:51:12 - INFO - Using 2 GPUs for training.
2025-07-14 00:51:12 - INFO - Training configuration:
{
  "seed": 42,
  "epochs": 600,
  "batch_size": 2,
  "learning_rate": 0.0001,
  "log_path": "./result/VNet_Multi_V4/LA_16/Training.log",
  "pth_path": "./result/VNet_Multi_V4/LA_16/Pth",
  "tensorboard_path": "./result/VNet_Multi_V4/LA_16/Train",
  "continue_train": false,
  "dataset_path": "./datasets/LA",
  "num_classes": 2,
  "training_num": 16,
  "patch_size": [
    112,
    112,
    80
  ]
}
2025-07-14 00:51:12 - INFO - Ensured model and TensorBoard directories exist.
2025-07-14 00:51:12 - INFO - Process started on device: cuda:0 with seed 42.
2025-07-14 00:51:12 - INFO - TensorBoard writer initialized at: ./result/VNet_Multi_V4/LA_16/Train/20250714-005112
2025-07-14 00:51:12 - INFO - Initializing dataset...
2025-07-14 00:51:12 - INFO - Dataset contains 16 samples.
2025-07-14 00:51:12 - INFO - DataLoader created with DistributedSampler. Batch size per GPU: 2.
2025-07-14 00:51:12 - INFO - Initializing VNet model...
2025-07-14 00:51:12 - INFO - Logging is set up.
2025-07-14 00:51:12 - INFO - Process started on device: cuda:1 with seed 42.
2025-07-14 00:51:12 - INFO - Initializing dataset...
2025-07-14 00:51:12 - INFO - Dataset contains 16 samples.
2025-07-14 00:51:12 - INFO - DataLoader created with DistributedSampler. Batch size per GPU: 2.
2025-07-14 00:51:12 - INFO - Initializing VNet model...
2025-07-14 00:51:12 - INFO - Model wrapped with DDP. `find_unused_parameters` is set to True for multi-output model.
2025-07-14 00:51:12 - INFO - Loss function: UnifiedLoss with λ_reg=0.3, weights=[1,1]
2025-07-14 00:51:12 - INFO - Optimizer: AdamW with LR=0.0001
2025-07-14 00:51:12 - INFO - Starting training from epoch 0 to 600...
2025-07-14 00:51:12 - INFO - Model wrapped with DDP. `find_unused_parameters` is set to True for multi-output model.
2025-07-14 00:51:28 - INFO - Epoch 1 finished. Average Training Loss: 1.9775
2025-07-14 00:51:30 - INFO - Epoch 2 finished. Average Training Loss: 1.6081
2025-07-14 00:51:32 - INFO - Epoch 3 finished. Average Training Loss: 1.6059
2025-07-14 00:51:33 - INFO - Epoch 4 finished. Average Training Loss: 1.3131
2025-07-14 00:51:35 - INFO - Epoch 5 finished. Average Training Loss: 1.4943
2025-07-14 00:51:37 - INFO - Epoch 6 finished. Average Training Loss: 1.3766
2025-07-14 00:51:38 - INFO - Epoch 7 finished. Average Training Loss: 1.2995
2025-07-14 00:51:40 - INFO - Epoch 8 finished. Average Training Loss: 1.3685
2025-07-14 00:51:42 - INFO - Epoch 9 finished. Average Training Loss: 1.2442
2025-07-14 00:51:43 - INFO - Epoch 10 finished. Average Training Loss: 1.3778
2025-07-14 00:51:45 - INFO - Epoch 11 finished. Average Training Loss: 1.2957
2025-07-14 00:51:47 - INFO - Epoch 12 finished. Average Training Loss: 1.2036
2025-07-14 00:51:48 - INFO - Epoch 13 finished. Average Training Loss: 1.2394
2025-07-14 00:51:50 - INFO - Epoch 14 finished. Average Training Loss: 1.1453
2025-07-14 00:51:52 - INFO - Epoch 15 finished. Average Training Loss: 1.1846
2025-07-14 00:51:53 - INFO - Epoch 16 finished. Average Training Loss: 1.1543
2025-07-14 00:51:55 - INFO - Epoch 17 finished. Average Training Loss: 1.0661
2025-07-14 00:51:57 - INFO - Epoch 18 finished. Average Training Loss: 1.0898
2025-07-14 00:51:59 - INFO - Epoch 19 finished. Average Training Loss: 1.0180
2025-07-14 00:52:00 - INFO - Epoch 20 finished. Average Training Loss: 1.1328
2025-07-14 00:52:00 - INFO - Saved checkpoint for epoch 20 to ./result/VNet_Multi_V4/LA_16/Pth/model_epoch_20.pth
