2025-07-14 00:50:10 - INFO - Logging is set up.
2025-07-14 00:50:10 - INFO - 
======================================== New DDP Training Session Started ========================================
2025-07-14 00:50:10 - INFO - Using 2 GPUs for training.
2025-07-14 00:50:10 - INFO - Training configuration:
{
  "seed": 42,
  "epochs": 600,
  "batch_size": 2,
  "learning_rate": 0.0001,
  "log_path": "./result/VNet_Multi_V4/LA_8/Training.log",
  "pth_path": "./result/VNet_Multi_V4/LA_8/Pth",
  "tensorboard_path": "./result/VNet_Multi_V4/LA_8/Train",
  "continue_train": false,
  "dataset_path": "./datasets/LA",
  "num_classes": 2,
  "training_num": 8,
  "patch_size": [
    112,
    112,
    80
  ]
}
2025-07-14 00:50:10 - INFO - Ensured model and TensorBoard directories exist.
2025-07-14 00:50:10 - INFO - Process started on device: cuda:0 with seed 42.
2025-07-14 00:50:10 - INFO - TensorBoard writer initialized at: ./result/VNet_Multi_V4/LA_8/Train/20250714-005010
2025-07-14 00:50:10 - INFO - Initializing dataset...
2025-07-14 00:50:10 - INFO - Dataset contains 8 samples.
2025-07-14 00:50:10 - INFO - DataLoader created with DistributedSampler. Batch size per GPU: 2.
2025-07-14 00:50:10 - INFO - Initializing VNet model...
2025-07-14 00:50:10 - INFO - Logging is set up.
2025-07-14 00:50:10 - INFO - Process started on device: cuda:1 with seed 42.
2025-07-14 00:50:10 - INFO - Initializing dataset...
2025-07-14 00:50:10 - INFO - Dataset contains 8 samples.
2025-07-14 00:50:10 - INFO - DataLoader created with DistributedSampler. Batch size per GPU: 2.
2025-07-14 00:50:10 - INFO - Initializing VNet model...
2025-07-14 00:50:11 - INFO - Model wrapped with DDP. `find_unused_parameters` is set to True for multi-output model.
2025-07-14 00:50:11 - INFO - Model wrapped with DDP. `find_unused_parameters` is set to True for multi-output model.
2025-07-14 00:50:11 - INFO - Loss function: UnifiedLoss with λ_reg=0.3, weights=[1,1]
2025-07-14 00:50:11 - INFO - Optimizer: AdamW with LR=0.0001
2025-07-14 00:50:11 - INFO - Starting training from epoch 0 to 600...
2025-07-14 00:50:22 - INFO - Epoch 1 finished. Average Training Loss: 1.9467
2025-07-14 00:50:23 - INFO - Epoch 2 finished. Average Training Loss: 1.9933
2025-07-14 00:50:24 - INFO - Epoch 3 finished. Average Training Loss: 1.7857
2025-07-14 00:50:24 - INFO - Epoch 4 finished. Average Training Loss: 1.4897
2025-07-14 00:50:25 - INFO - Epoch 5 finished. Average Training Loss: 1.6676
2025-07-14 00:50:26 - INFO - Epoch 6 finished. Average Training Loss: 1.5252
2025-07-14 00:50:27 - INFO - Epoch 7 finished. Average Training Loss: 1.3904
2025-07-14 00:50:27 - INFO - Epoch 8 finished. Average Training Loss: 1.1879
2025-07-14 00:50:28 - INFO - Epoch 9 finished. Average Training Loss: 1.3606
2025-07-14 00:50:29 - INFO - Epoch 10 finished. Average Training Loss: 1.6084
2025-07-14 00:50:29 - INFO - Epoch 11 finished. Average Training Loss: 1.3297
2025-07-14 00:50:30 - INFO - Epoch 12 finished. Average Training Loss: 1.3311
2025-07-14 00:50:31 - INFO - Epoch 13 finished. Average Training Loss: 1.3534
2025-07-14 00:50:31 - INFO - Epoch 14 finished. Average Training Loss: 1.2624
2025-07-14 00:50:32 - INFO - Epoch 15 finished. Average Training Loss: 1.3890
2025-07-14 00:50:33 - INFO - Epoch 16 finished. Average Training Loss: 1.3515
2025-07-14 00:50:33 - INFO - Epoch 17 finished. Average Training Loss: 1.2067
2025-07-14 00:50:34 - INFO - Epoch 18 finished. Average Training Loss: 1.1914
2025-07-14 00:50:35 - INFO - Epoch 19 finished. Average Training Loss: 1.3699
2025-07-14 00:50:35 - INFO - Epoch 20 finished. Average Training Loss: 1.3413
2025-07-14 00:50:36 - INFO - Saved checkpoint for epoch 20 to ./result/VNet_Multi_V4/LA_8/Pth/model_epoch_20.pth
2025-07-14 00:50:36 - INFO - Epoch 21 finished. Average Training Loss: 1.2564
2025-07-14 00:50:37 - INFO - Epoch 22 finished. Average Training Loss: 1.1994
2025-07-14 00:50:38 - INFO - Epoch 23 finished. Average Training Loss: 1.3213
